name01#0,"""Zeno"""
name01#1,"""ゼノ"""
11_voice_NPC_5001_100#0,"""ข้าเดาว่าเกี่ยวกับมัน,<br><%me> ขอบคุณมาก"""
text02#0,"""เมื่อท่านเสียความสงบ ความใจเย็น ท่านอาจจะรู้สึกดีที่<br>เอาหัวไปจุ่มกองด้าย แต่ไม่ควรทำด้วยตัวคนเดียว"""
text03#0,"""อาจารย์ข้าบอกว่าการมีพาร์ทเนอร์ที่ใจเย็น<br>จะช่วยไม่ให้ท่านถลำลึกลงไป"""
text04#0,"""ข้ารู้เลยว่าหลายครั้งคำกล่าวนี้ก็ช่วยข้าไว้"""
text05#0,"""แต่ไม่มีเหตุผลที่จะมารื้อเรื่องเก่าๆ<br>ยังไงเราก็ทำเป้าหมายสำเร็จแล้ว<br>กลับกันเถอะ"""
11_voice_NPC_5001_100#1,"""ふーっ、ま、こんなもんか。<br><%me><br>そろそろ大丈夫だ、ありがとな。"""
text02#1,"""頭に血が上っているときは<br>遮二無二身体を動かすのが一番。<br>ただし、必ず仲間を連れて行くように。"""
text03#1,"""これ、俺の師匠の教え。<br>冷静な判断が出来る仲間がいれば<br>無理も止めてくれる、とさ。"""
text04#1,"""師匠に教えてもらったことで<br>俺がどれだけ救われたことか……"""
text05#1,"""……っと、師匠語りしても仕方ない。<br>目標達成したんだ、帰ろうぜ。"""
