TrialName_1Enemy#0,"""Subdue $(0)"""
TrialBeginMsg_1Enemy#0,"""Defeat $(0)!"""
TrialAbstract_1Enemy#0,"""Defeat $(0)"""
TrialName_Multi#0,"""Enemy Subjugation"""
TrialBeginMsg_Multi#0,"""Defeat the enemies that have spawned!"""
TrialAbstract_Multi#0,"""Defeat the enemies!"""
NpcComGod2RanBossAppear01#0,"""/voicessc_012040_0040 A high-energy signal coming from space. Something huge is coming!"""
NpcComGod2RanBossAppear02#0,"""/voicessc_012040_0050 It's Dark Falz..."""
NpcComGod2RanBossBattleStart01#0,"""/voicessc_012050_0010 /atime0.5 ...Everyone... Please!?\u3000...please respond!\u3000...is... go to th-...!"""
NpcComGod2RanLaterHalf01#0,"""/voicessc_012060_0010 Communications restored!<br>Checking its vitals. We're now monitoring the situation."""
NpcComGod2RanLaterHalf02#0,"""/voicessc_012060_0030 /atime0.5 It seems it's weaker than when it appeared... Everyone, continue your attacks against Dark Falz!"""
NpcComGod2RanBrokenAllParts01#0,"""/voicessc_012060_0070 Dark Falz has been weakened, keep going!"""
NpcComGod2RanReturnFromDown01#0,"""/voicessc_012060_0050 /atime0.5 Preparing to fire the Central Cannon, moving to final stage of firing.<br>Just hang on a little more!"""
NpcComGod2ManonAndAina02#0,"""/voicessc_012040_0020 Looks like we've arrived at different locations."""
NpcComGod2ManonAndAina01#0,"""/voicessc_012040_0010 Where are you guys?"""
NpcComGod2ManonAndAina03#0,"""/voicessc_012040_0030 We'll send our location here & then we can meet up..."""
NpcComGod2CrawfordBossAppear03#0,"""/voicessc_012040_0060 /atime0.5 It'll take some time before we can fire the cannon. Please stall for time..."""
