un_020090_0010#0,"""......อ๊ะ คุณเป็นตัวจริงสินะ<br>ดีจัง<br>"""
un_020090_0020#0,"""......ระยะนี้ดูเหมือนว่าจะมีศัตรูที่เป็น ARKS<br>จำลองปรากฎตัวออกมาไม่ใช่เหรอ"""
un_020090_0030#0,"""......นั่นน่ะ ทำให้ยุ่งยากมากๆ เลยล่ะ<br>เพราะมันอาจจะทำให้เราต้องต่อสู้กับ<br>อีกฝ่ายที่หน้าตาเหมือนคนรู้จักเปี๊ยบก็ได้"""
un_020090_0040#0,"""ถึงจะรู้อยู่ว่ามันเป็นโคลน<br>เป็นตัวปลอม<br>แต่ชั้นก็คิดว่ามันจัดการลำบากอยู่ดี"""
un_020090_0050#0,"""......แค่คิดว่าต้องกำจัดเค้าคนนั้น<br>ที่จับคู่ปาร์ตี้ด้วยกันมาตลอด<br>มันก็รู้สึกปวดใจแล้วล่ะ"""
un_020090_0060#0,"""......อืม ไม่อยากคิดถึงมันเลย<br>ดังนั้นชั้นต้องภาวนาขออย่าให้เจอ"""
un_020090_0070#0,"""......ถึงจะเป็นตัวปลอมก็เถอะ<br>แต่ชั้นก็ไม่คิดอยากจะสู้กับ<br>ARKS ด้วยกันซักเท่าไหร่หรอก"""
un_020090_0010#1,"""……あ、あなたは本物ね。<br>よかった。"""
un_020090_0020#1,"""……最近、アークスの模倣体が<br>敵として現れるって話じゃない。"""
un_020090_0030#1,"""……あれ、すごくやっかいよ。<br>もしかしたら、知り合いそっくりの<br>相手と戦うことになるんでしょう。"""
un_020090_0040#1,"""……それが偽物、クローンって<br>わかっていたとしても<br>倒すのって、つらいと思う。"""
un_020090_0050#1,"""……いつもパーティを組んでいる<br>あの人を倒さなきゃ、って考えるの<br>それだけでも、心苦しいもの。"""
un_020090_0060#1,"""……うん、考えたくもないわ。<br>だから、会わないことを祈ってる。"""
un_020090_0070#1,"""……偽物相手とはいえ<br>アークス同士で戦うことなんて<br>考えたくも、ない。"""
