name_7418#0,"""ベルクマン"""
ssn_014160_0001#0,"""おう、あんたか。<br>調子はどうだ？"""
ssn_014160_0002#0,"""これまでもらったデータは、<br>大切にしているぞ。"""
ssn_014160_0101#0,"""よう。<br>今って、時間あったりするか？"""
ssn_014160_0102#0,"""また、頼みごとをできたらと思っているんだ。"""
ssn_014160_0103#0,"""いつも悪いな！<br>それじゃ、聞いてくれ。"""
ssn_014160_0104#0,"""あんたからもらったデータ、<br>いつまでも眺めてられるんだ。"""
ssn_014160_0105#0,"""色々と増えてくると楽しいな。<br>毎日の励みになるよ。"""
ssn_014160_0106#0,"""でな、今度は森の景色を見たくなってきてさ。<br>エアリオで森と言えば、レゾルの森だ。"""
ssn_014160_0107#0,"""あそこは、ちょっと危険な場所だが、<br>あんたならやってくれると信じてるよ。"""
ssn_014160_0108#0,"""別に急ぎはしない。<br>時間があるときでいいからさ。"""
ssn_014160_0109#0,"""頼むよ。"""
ssn_014160_0201#0,"""そうか……。<br>時間があったら、声をかけてくれ。"""
