st_012035_0005#0,"""【為姐著想的弟弟】<br>暫用文字"""
st_012035_0010#0,"""<%me><br>庫娜小姐，聽到請回答。"""
st_012035_0020#0,"""一如所料，那匹暴走龍<br>目前似乎仍停留在<br>蘇菲亞巨蛋廣場內。"""
st_012035_0030#0,"""不知道這個效果能夠<br>維持多久......"""
st_012035_0040#0,"""......沒問題的。<br>只要歌聲還在播放，<br>牠是不會移動的。"""
st_012035_0050#0,"""......另外，還有一件事<br>必須要和兩位當事人<br>解說。"""
st_012035_0060#0,"""關於不明暴走龍數量漸增<br>並使那哈德烈失控的<br>原因......"""
st_012035_0070#0,"""不，不必你說明。<br>......這份人情謝了。"""
st_012035_0080#0,"""我知道......不，<br>我曾經聽過。我還記得。"""
st_012035_0090#0,"""研究室的崩毀......哈德烈失控......<br>不人道的人體實驗......"""
st_012035_0100#0,"""不，那些事已經不重要了。"""
st_012035_0110#0,"""哈德烈......<br>牠為了要保護我，<br>卻捨棄了牠自己......！"""
st_012035_0120#0,"""是......麼。<br>那麼，期待你們的奮鬥了。"""
st_012035_0130#0,"""我們走吧，<br><%me>。<br>哈德烈等待著你們。"""
st_012035_0140#0,"""A.P.238/4/15/11:00:00"""
