name_7449#0,"""シオジ"""
ssn_015514_0010#0,"""ありがとな！"""
ssn_015514_0020#0,"""話ってのは、珍しい鉱石の噂についてだ。"""
ssn_015514_0030#0,"""鉱石の名前は、“インフェリウム”。"""
ssn_015514_0040#0,"""メディオラの外郭第１区って<br>呼ばれる場所で見つかったらしい。"""
ssn_015514_0050#0,"""そのデータを取りたいんだ。"""
ssn_015514_0060#0,"""ただ……、どうやらそいつは、<br>いつでも採れるってわけじゃないらしくてな。"""
ssn_015514_0070#0,"""天候が関係してるんじゃないかって話もあるが、<br>確かなことはわからん。"""
ssn_015514_0080#0,"""見つけるのには、<br>かなり苦労するかもしれないな。"""
ssn_015514_0090#0,"""大変な依頼だが、あんたなら、<br>上手くやってくれると信じているぜ。"""
ssn_015514_0100#0,"""それじゃ、頼んだぞ。"""
