st_055020_0010#0,"""咳......咳咳咳......！"""
st_055020_0020#0,"""爲什麼！<br>我不是爲了讓這孩子做那樣的事<br>才創造出這個孩子的！"""
st_055020_0030#0,"""等一下！<br>只要能知道一切......<br>就算不使用那麼愚蠢的手段也......！"""
st_055020_0040#0,"""爲什麼！　爲什麼不回答我，錫安！<br>就是說答案只有那一個麼！"""
st_055020_0050#0,"""不對，不對不對不對不對！<br>這種結果......是錯的！"""
st_055020_0060#0,"""哈！<br>哈......哈......哈......！"""
st_055020_0070#0,"""......對，對了。<br>我獲得了全知......<br>然後，接着......！"""
st_055020_0080#0,"""怎、怎麼了麼，盧瑟。<br>不敲門就進來了......"""
st_055020_0090#0,"""盧瑟......哥、哥？"""
st_055020_0100#0,"""哈莉艾特......我的最高傑作......<br>你不應該屬於這個地方。"""
st_055020_0110#0,"""哥哥！？"""
st_055020_0120#0,"""啊啊啊啊啊啊！"""
st_055020_0130#0,"""剛才的是哈莉艾特的慘叫！？<br><%me>桑！"""
st_055020_0140#0,"""哈莉艾特大人！"""
st_055020_0150#0,"""那個是......盧瑟大人、麼？"""
st_055020_0160#0,"""這個反應是黑暗法爾斯！？<br>難道是因爲使用了徒花<br>然後覺醒了麼！"""
st_055020_0170#0,"""......哇、哈哈哈、哈哈哈哈哈！<br>不會交給你們哦，不會把我的最高傑作交給你們！<br>等我掌握了全知......！"""
st_055020_0180#0,"""別、別跑！"""
st_055020_0190#0,"""怎麼會......哈莉艾特大人被......<br>盧瑟大人搶走了......<br>到底發生了什麼......！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
