st_010060_fs_0005#0,"""A.P.238/2/20/11:30"""
st_010060_fs_0070#0,"""な、なんだあ！？"""
st_010060_fs_0080#0,"""管制よりアークス各員へ緊急連絡！<br>惑星ナベリウスにてコードＤ発令！<br>フォトン係数が危険域に達しています！"""
st_010060_fs_0090#0,"""繰り返します<br>惑星ナベリウスにてコードＤが発令！"""
st_010060_fs_0095#0,"""空間侵食を観測、出現します！"""
st_010060_fs_0100#0,"""お、おい相棒！\u3000あれ！"""
st_010060_fs_0110#0,"""嘘だろ……何もないところから<br>真っ黒い奴らが現れた……？"""
st_010060_fs_0130#0,"""ダーカー出現を観測！<br>空間許容限界を超えています！"""
st_010060_fs_0140#0,"""全アークスへ通達！<br>最優先命令コードによる<br>ダーカーへの厳戒令が下されました！"""
st_010060_fs_0150#0,"""こいつらが……ダーカー？<br>アークスの敵で、宇宙の敵で<br>……すべてを喰らい尽くすもの。"""
st_010060_fs_0160#0,"""なんでだよ！\u3000どうしてだよ！<br>ナベリウスにはいないはずだろ！"""
st_010060_fs_0170#0,"""……！"""
st_010060_fs_0180#0,"""……いや、恐ろしいぐらいドンピシャ。<br>なんかあった時のために<br>控えておいて正解だったぜ。"""
st_010060_fs_0190#0,"""救援に来てくれたんですね！<br>よかった、助かった……"""
st_010060_fs_0200#0,"""安心してるヒマはないぜ。<br>さあ、回収ポイントはこの先だ。<br>突っ切るぞ！"""
st_010060_fs_0210#0,"""ちょ、ちょっ！<br>おれたちも戦うんですか？"""
st_010060_fs_0220#0,"""アークスなんだから当然だろ？<br>ほら、お前と違ってそっちのやつは<br>しっかり準備してるぜ？"""
st_010060_fs_0230#0,"""お、おい、相棒……<br>……はぁ、わかったよ、わかりました。<br>やるしかない、って言いたいんだろ？"""
st_010060_fs_0240#0,"""お前、初陣にしては胆が据わってるな。<br>なかなか見所あるぜ……って<br>んん？\u3000いや、ちょっと失礼。"""
st_010060_fs_0250#0,"""その顔、どっかで見たことあるような……<br>どこだったかな。"""
st_010060_fs_0260#0,"""ま、考えるのはあとでいいか。<br>それじゃ行くぜ、ルーキーども。<br>きちんとついてこいよ！"""
skit01#0,"""The day I was waiting for"""
skit02#0,"""序章 ずっとこの日を待っていた"""
