Area0S#0,"""ミッション1"""
Area0L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ)\u3000ミッション1"""
Area1S#0,"""ミッション2"""
Area1L#0,"""アークスシップ\u3000ＶＲ空間(ダーカーの巣)\u3000ミッション2"""
Area2S#0,"""ミッション3"""
Area2L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域 地下坑道)\u3000ミッション3"""
Area3S#0,"""ミッション4"""
Area3L#0,"""アークスシップ\u3000ＶＲ空間(クエント城跡)\u3000ミッション4"""
Area4S#0,"""ミッション5"""
Area4L#0,"""アークスシップ\u3000ＶＲ空間(時空の狭間)\u3000ミッション5"""
Area21S#0,"""インターバルエリア1"""
Area21L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域 地下坑道)\u3000インターバルエリア1"""
Area23S#0,"""インターバルエリア2"""
Area23L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ・シバ)\u3000インターバルエリア2"""
Title#0,"""MISSION：激震"""
Explanation#0,"""アークスの訓練用プログラム、第三弾です。<br>舞台は旧マザーシップ、ダーカーの巣、<br>地下坑道、クエント城跡となります。<br>出撃前に端末で使用クラスセットを選択し<br>クリアを目指していただきます。<br>初期装備や所持品は選択したセットにより<br>異なりますので、ご注意ください。<br>――――――――――――――――――――<br>目標/５つのミッションのクリア<br>※ミッション６以降はありません。"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 ミッション１です。"""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 ミッション２です。"""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション４です。"""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション５です。"""
NpcComMsg1#0,"""まもなくチャレンジを開始します。 <br>ＶＲエネルギーが切れるまでに５つの <br>ミッションをクリアしてください。"""
NpcComMsg2#0,"""各種携行品も現地調達となります。 <br>厳しい訓練となりますが、臨機応変に <br>対処してください。健闘を祈ります。"""
SimpleExplanation#0,"""５つのミッションをクリアせよ！"""
