st_047080_0001#0,"""A.D.2028/4/23/15:00"""
st_047080_0010#0,"""……ふふ、ははは！<br>人の意志は、私すら凌駕するか！"""
st_047080_0020#0,"""……だが、私は負けん！<br>私と共に歩んだ者達のためにも……<br>本懐を果たすまで、止まるわけには……いかん！"""
st_047080_0030#0,"""ぐ……うう……うああああああっ！！"""
st_047080_0040#0,"""こいつ……あの時に現れた、黒い影！<br>どうしてここに……！"""
st_047080_0050#0,"""マザーを……取り込もうとしてる……？"""
st_047080_0060#0,"""マザーの力が弱まったのを見計らって<br>出しゃばってきやがったのか！？"""
st_047080_0070#0,"""やめろ……悪意の結晶よ……！<br>私は、破壊など望んではいない……！<br>私は……私は…………ただ…………！"""
st_047080_0080#0,"""アル！\u3000マザー！"""
st_047080_0090#0,"""なん……だよ、こりゃあ……！"""
st_047080_0100#0,"""……<%me>さん。<br>反応、こちらでも捕捉しました。"""
st_047080_0110#0,"""間違いありません。<br>新たなるダークファルスの出現です。"""
st_047080_0120#0,"""マザーの中にいたアルのやつが<br>完全にダークファルスになっちまったのか……！？"""
st_047080_0130#0,"""……そんな。"""
st_047080_0140#0,"""くっ……！"""
st_047080_0150#0,"""お姉ちゃん……！<br><%me>……！"""
st_047080_0160#0,"""……！？<br>アル！\u3000アルなの！？"""
st_047080_0170#0,"""ぼくはまだ、ここにいるよ……<br>マザーも、一緒にここにいる。"""
st_047080_0180#0,"""お姉ちゃん、ねえお姉ちゃん。<br>今のお姉ちゃんなら、わかるでしょ。<br>マザーも、苦しんでるってこと。"""
st_047080_0190#0,"""……うん。わかるよ。<br>マザーは、寂しかったんだ。<br>捨てられて、ずっと一人で寂しかった。"""
st_047080_0200#0,"""ひとりぼっちの寂しさは<br>あたしもよく、わかってるから……"""
st_047080_0210#0,"""お姉ちゃん、<%me>。<br>お願い、助けてあげて、マザーを。<br>ぼくからの、最後のお願い……"""
st_047080_0220#0,"""最後のお願い、なんて滅多なこと<br>言うんじゃないわよ、アル！"""
st_047080_0230#0,"""こっちはね、もとよりそのつもりなんだから！<br>そのために、ここに来たの！"""
st_047080_0240#0,"""アルを助けて、ついでにマザーも助けて<br>結果として世界が助かる！"""
st_047080_0250#0,"""それだけの話！\u3000簡単な話よ！<br>ねえ、<%me>！"""
st_047080_0260#0,"""あたしのこの力は、救うための力よ！<br>……待ってなさい！\u3000アル！\u3000マザー！"""
