name01#0,"""齊法斯"""
text00#0,"""喔，做好啦！<br>下次也麻煩啦。"""
text01#0,"""辛苦啦。<br>幫大忙了。"""
text02#0,"""唷，辛苦你了。<br>真的非常謝謝。"""
text03#0,"""沒有問題的作品呢。<br>有機會的話再拜託你哦！"""
text04#0,"""謝謝吶。<br>真的，幫大忙了。"""
text05#0,"""來了來了。<br>辛苦你了，感恩。"""
text06#0,"""不錯嘛？<br>下次也拜託你囉。"""
text07#0,"""做得真好，謝謝你。<br>下次也拜託你了。"""
text08#0,"""確實收到了。<br>真不好意思呀。"""
text09#0,"""哦，等了很久囉。<br>幫大忙了，謝謝吶。"""
text00#1,"""好耶～！<br>真是太努力了！<br>幫大忙了，謝謝呀。"""
text01#1,"""喔～喔～，很好的成品呀。<br>好厲害耶！<br>謝謝啦。"""
text02#1,"""好作品啊！<br>謝謝吶。<br>下次也請多指教。"""
text03#1,"""欸，做得不錯嘛。<br>比預料中的還要好呢。<br>下次也拜託你了。"""
text04#1,"""不錯吶！<br>啊，真的，幫大忙了。<br>下次也請多指教，謝謝。"""
text05#1,"""真強耶。<br>做得不錯吶，這個。<br>辛苦你了！"""
text06#1,"""幫大忙了！<br>比預料中的還要好呢，真的。<br>下次也請多多指教。"""
text07#1,"""這個真是太完美了、真的。<br>真的沒在開玩笑超棒啊！<br>下次也拜託你囉。"""
text08#1,"""居然會變成這樣的好東西！<br>啊，超棒的。<br>好感謝你。"""
text09#1,"""絕佳的作品呢。<br>比委託的做得還要好呢，這個！<br>太感謝你了、真的。"""
