text01#0,"""D-arkers  สายพันธุ์แมลงที่มีรูปร่างภายนอก<br>เหมือนแมลงและอ่อนแอต่อธาตุไฟ ซึ่งเมื่อเปรียบ<br>เทียบแล้วโดยมากมักจะเคลื่อนไหวกันเป็นฝูง......"""
text02#0,"""D-arkers สายพันธุ์ปลาที่มีรูปร่างดั่งสัตว์น้ำ<br>อ่อนแอต่อธาตุสายฟ้า ร่างกายใหญ่โตมี<br>พละกำลังมากและมักจะอยู่ตัวเดี่ยวๆ ......"""
text03#0,"""และ D-arkers สายพันธุ์มีปีกที่มีปีกเหมือนกับนก<br>อ่อนแอต่อธาตุลม มีสติปัญญาสูงสามารถคิดกลยุทธ์<br>การโจมตีได้อย่างหลากหลาย ก็คงจะราวๆ นี้ล่ะมั้ง"""
text04#0,"""โดยพื้นฐานแล้วไม่ว่าจะเป็น D-arkers สายพันธุ์ไหน<br>ก็จะเคลื่อนไหวตามสัญชาตญาณ......"""
text05#0,"""อีกทั้งระยะหลังมานี้ ชั้นยังได้ยินว่า<br>D-arkers ที่มีปัจจัยที่เรียกว่ากัดกิน<br>กำลังเคลื่อนไหวเป็นองค์กรอยู่อีกด้วย"""
11_voice_NPC_5125_105#0,"""ไม่เกี่ยวกับว่าจะเป็น D-arkers หรือไม่ แต่มันจะไป<br>ฝังตัวอยู่กับศัตรูพื้นเมืองของแต่ละดาวและกัดกิน<br>......ทว่าที่มาของเรื่องนี้นั้น ยังไม่แน่ชัด"""
text07#0,"""......อา ขอโทษด้วย ชั้นพูดออกนอก<br>เรื่องไปสินะ คำร้องเสร็จสิ้นแล้วล่ะ<br>แล้วไว้ชั้นจะขอรบกวนท่านใหม่นะ"""
text01#1,"""昆虫のような外骨格を持って<br>炎属性に弱く、比較的群れを成して<br>行動することが多い蟲系ダーカー……"""
text02#1,"""水棲生物を思わせる姿をしていて、<br>雷属性に弱く、体が大きく体力が高い<br>個体が多い魚介系ダーカー……"""
text03#1,"""鳥のような翼を持ち、風属性に弱く<br>知的な戦術パターンが多く知能が高い<br>有翼系ダーカーってところかしら。"""
text04#1,"""基本的にどのダーカーも個体それぞれが<br>本能的に活動をしているのだけれど……"""
text05#1,"""それと最近、侵食核という因子のついた<br>ダーカーが、組織だった行動を<br>見せているという話を聞いているわ。"""
11_voice_NPC_5125_105#1,"""ダーカーにかかわらず、各惑星現住の<br>エネミーにもくっつく、侵食核。<br>……これの由来は、まだ不明ね。"""
text07#1,"""……ああ、ごめんなさい。<br>脱線してしまったわね。<br>依頼はこれで完了、またお願いね。"""
