IncidentName#0,"""將迷路的娜烏拉護送到運輸車"""
TrialBeginMsg#0,"""找到娜烏拉大女兒後<br>護衛她前往運輸車！"""
TrialAbstract#0,"""找到娜烏拉大女兒後<br>護衛她前往運輸車！"""
ToastOnSuccess#0,"""$(0)開張了。"""
IncidentName#1,"""迷子のナウラをカーゴに護送せよ"""
TrialBeginMsg#1,"""ナウラ長女を見つけだし<br>カーゴに護送せよ！"""
TrialAbstract#1,"""ナウラ長女を見つけだし<br>カーゴに護送せよ！"""
ToastOnSuccess#1,"""$(0)が開店しました。"""
OnFind1#0,"""/ci4 3 ......嗚嗚。<br>我本來在看海......<br>曾幾何時卻只剩下我一個人。"""
OnFind2#0,"""/mn2 /toge /ci4 1  沒什麼事......<br>我沒有哭......<br>我沒有迷路......"""
OnFind3#0,"""/ci3 4 你是來找我的嗎......？<br>那就快點帶我走吧。"""
OnStopEnemy#0,"""......嗚嗚。"""
OnFollow#0,"""/ci3 4 我想回家......<br>快點帶我回去啊。"""
OnStopPlayer#0,"""/mn13 ......等等我，給我站住。<br>你走太快了，等我。"""
OnRefollow#0,"""/ci4 5 好想趕快回去。<br>快點帶我回去。"""
OnDefeat#0,"""/mn6 /ci2 2 ......哼。"""
OnDead#0,"""/mn13 我受夠了......<br>不管怎樣我都要回去。"""
OnSuccess3#0,"""/ci2 2 ......要你管。<br>我沒有迷路，擺臭臉又怎麼樣。"""
OnSuccess6#0,"""/mn6 /ci1 1 t5 ......少囉嗦，快買蛋糕。"""
OnFailure3#0,"""/mn3 /ci5 2  ......要你管。<br>我心情糟透了，所以要回去了。"""
OnFind1#1,"""/ci4 3 ……ぐすっ。<br>海を見てただけなのに……<br>いつのまにかひとりぼっち。"""
OnFind2#1,"""/mn2 /toge /ci4 1 別に、なんでもないし……<br>泣いてないし……<br>迷子じゃないし……"""
OnFind3#1,"""/ci3 4 私を探しに来た……？<br>なら、はやく連れてって。"""
OnStopEnemy#1,"""……ぐすっ。"""
OnFollow#1,"""/ci3 4 帰りたい……<br>だから、はやく連れてって。"""
OnStopPlayer#1,"""/mn13 ……待って、待て。<br>歩くの早すぎ、待て。"""
OnRefollow#1,"""/ci4 5 帰りたい……<br>だから、はやく連れてって。"""
OnDefeat#1,"""/mn6 /ci2 2 ……ふん。"""
OnDead#1,"""/mn13 もうやだ……<br>無理にでも、帰る。"""
OnSuccess3#1,"""/ci2 2 ……うるさい。<br>迷ってないし、無愛想関係ないし。"""
OnSuccess6#1,"""/mn6 /ci1 1 t5 ……いいからケーキ買って。"""
OnFailure3#1,"""/mn3 /ci5 2 ……うるさい。<br>気分最悪、だから帰る。"""
OnStart2#0,"""/mn2 /ci4 2 是、是這樣的，我姐姐<br>到處亂晃，不知道跑到哪裡<br>去了～......"""
OnStart3#0,"""/mn1 /ci4 1 這樣下去我們不能烤蛋糕<br>也不能開店，一家分崩離析了～。<br>求求您，幫我們找姐姐吧～。"""
OnSuccess1#0,"""/mn15 /toge /ci2 1 姐姐！"""
OnSuccess4#0,"""/mn11 /ci2 1 太好了，幸好姐姐沒事......<br>那個，真的非常<br>謝謝您～。"""
OnFailure1#0,"""/mn22 /ci4 2 /toge 姐姐！<br>姐姐突然跑回來了！"""
OnFailure4#0,"""/mn11 /ci4 3 總之沒事就好了～。"""
OnSecondBefore1#0,"""請、請您一定要找到姐姐～。"""
OnSecondBefore2#0,"""我有種感覺，姐姐現在應該在<br>那邊～。<br>這是作妹妹的直覺～。"""
OnStart2#1,"""/mn2 /ci4 2 じ、実は、うちの姉さんが<br>ふらふらっとどこかに<br>行ってしまいましてー……"""
OnStart3#1,"""/mn1 /ci4 1 このままだとケーキ作れません<br>店も開けません、一家離散ですー。<br>お願いです、探して下さいー。"""
OnSuccess1#1,"""/mn15 /toge /ci2 1 姉さんー！"""
OnSuccess4#1,"""/mn11 /ci2 1 よかったぁ、姉さんが無事で……<br>あのっ、本当に本当に<br>ありがとうございますー。"""
OnFailure1#1,"""/mn22 /ci4 2 /toge 姉さんー！<br>姉さんが唐突に帰ってきたー！"""
OnFailure4#1,"""/mn11 /ci4 3 とにかく、無事でよかったですー。"""
OnSecondBefore1#1,"""ね、姉さんをお願いしますー。"""
OnSecondBefore2#1,"""姉さんは今、あっちに<br>いそうな気がしますー。<br>妹のカンですー。"""
OnStart1#0,"""/mn9 /ci2 1 /toge  啊！\u3000到好的地方！<br>有件事想跟你商量！"""
OnStart4#0,"""/mn16 /toge /ci2 2 只要你能帶姐姐回來<br>我會給你很多特別服務的！"""
OnSuccess2#0,"""/mn12 /toge /ci3 1  真是的，不要害我擔心嘛！<br>姐姐從以前就是個路痴<br>態度又差，真是拿她一點辦法也沒有！"""
OnSuccess5#0,"""/mn15 /toge /ci2 1 好啦，既然姐姐都<br>回來了<br>那我要好好提供服務囉！"""
OnFailure2#0,"""/mn12 /ci3 2 姐姐妳真是的<br>不要害人家擔心嘛！"""
OnThirdBefore1#0,"""姐姐就拜託你了！"""
OnThirdBefore2#0,"""我覺得姐姐<br>好像在那邊！<br>不會錯！\u3000大概！\u3000應該吧！"""
OnStart1#1,"""/mn9 /ci2 1 /toge あっ！\u3000いいところに！<br>相談したいことがっ！"""
OnStart4#1,"""/mn16 /toge /ci2 2 お姉ちゃん連れてきてくれたら<br>めいっぱいサービスするからっ！"""
OnSuccess2#1,"""/mn12 /toge /ci3 1 もー、心配させないでよね！<br>お姉ちゃん、昔っから方向音痴で<br>無愛想でどーしよーもないんだから！"""
OnSuccess5#1,"""/mn15 /toge /ci2 1 さーて、お姉ちゃんも<br>帰ってきたことだし<br>精一杯サービスしちゃうよー！"""
OnFailure2#1,"""/mn12 /ci3 2 まったくもー、お姉ちゃんは<br>心配させないでよね！"""
OnThirdBefore1#1,"""お姉ちゃんをよろしくっ！"""
OnThirdBefore2#1,"""お姉ちゃんはあっちに<br>いそうな気がする！<br>絶対！\u3000たぶん！\u3000おそらくっ！"""
