msc_022040_0010#0,"""おや、こんなところでなにを？"""
msc_022040_0020#0,"""もしかして、マノンに会いに？"""
msc_022040_0030#0,"""でしたら、彼女はここにはいません。<br>別の場所で調査をしています。"""
msc_022040_0040#0,"""マノンはうまくやってる？"""
msc_022040_0050#0,"""調査隊の隊員たちとの関係は？"""
msc_022040_0060#0,"""ええ。<br>うまくやっていると思います。"""
msc_022040_0070#0,"""おそらくは、問題ないかと。"""
msc_022040_0080#0,"""マノンに疑いの目を向けていた者たちも、<br>彼女を見直し始めています。"""
msc_022040_0090#0,"""彼女の貢献が、<br>彼らの意識を変えさせているのでしょう。"""
msc_022040_0100#0,"""ただ、当の本人は、<br>隊のなかでの距離感を測りかねているようです。"""
msc_022040_0110#0,"""それも、調査が進むことで、<br>自然とよくなっていくとは思いますが……。"""
msc_022040_0120#0,"""ところで……。"""
msc_022040_0130#0,"""あなたは、彼女のもつ不思議な力について、<br>なにか知っていますか？"""
msc_022040_0140#0,"""不思議な力？"""
msc_022040_0150#0,"""なんのこと？"""
msc_022040_0160#0,"""ええ。<br>気づいていない……ですか？"""
msc_022040_0170#0,"""やはり、気づいていなかったようですね。"""
msc_022040_0180#0,"""ニルス・スティアとの戦いのとき、<br>彼女が見せた力のことです。"""
msc_022040_0190#0,"""思いだしましたか？"""
msc_022040_0200#0,"""……あの強力な力は、なんなのでしょう？"""
msc_022040_0210#0,"""わからない。"""
msc_022040_0220#0,"""不思議な力……としか。"""
msc_022040_0230#0,"""そう……ですよね。"""
msc_022040_0240#0,"""最近のマノンは、調査のなかで、<br>その力を頻繁に使っているようなのです。"""
msc_022040_0250#0,"""調査隊や、周囲の者たちを助けるために。"""
msc_022040_0260#0,"""おかげで、犠牲もなく調査は進んでいるのですが、<br>どこか危うさを感じます……。"""
msc_022040_0270#0,"""かつてのグレン隊長も、<br>常に矢面に立って敵を薙ぎ払っていました。"""
msc_022040_0280#0,"""ヒバナを失った、心の空白を埋めるように……。"""
msc_022040_0290#0,"""それと同じものを、<br>今の彼女に感じるのです。"""
msc_022040_0300#0,"""……あなたになら、<br>話せることもあると思います。"""
msc_022040_0310#0,"""折を見て、<br>それとなく聞いてみてください。"""
msc_022040_0320#0,"""よろしくお願いします。"""
