ar_or010000#0,"""No.1<br>ไปพบ Astalte"""
ar_or010004#0,"""No.2<br>จงไปเคลียร์\u3000[Zawoodan Subdual]"""
ar_or010001#0,"""No.3<br>ไปพบคนที่่รออยู่ที่ Monument Square"""
ar_or010002#0,"""No.4 จงไปเคลียร์ Client order ของ Afin<br>[Effects of the first battle]"""
ar_or010003#0,"""No.5<br>ไปพบ Astalte"""
ar_or010000#1,"""No.1<br>アスタルテに会いに行く"""
ar_or010004#1,"""No.2<br>「ザウーダン討伐」のクリア"""
ar_or010001#1,"""No.2<br>モニュメント広場で待っている人に会う"""
ar_or010002#1,"""No.3<br>アフィンのクライアントオーダー<br>「初陣の影響」の達成"""
ar_or010003#1,"""No.4<br>アスタルテに会いに行く"""
ar_or010000#2,"""ไปพบ Astalte"""
ar_or010004#2,"""Zawoodan Subdual"""
ar_or010001#2,"""ไปพบคนที่่รออยู่ที่ Monument Square"""
ar_or010002#2,"""Effects of the first battle"""
ar_or010003#2,"""ไปพบ Astalte"""
ar_or010000#3,"""アスタルテに会いに行く"""
ar_or010004#3,"""ザウーダン討伐"""
ar_or010001#3,"""モニュメント広場で待っている人に会う"""
ar_or010002#3,"""初陣の影響"""
ar_or010003#3,"""アスタルテに会いに行く"""
