st_064030_0010#0,"""敵の第一陣、反応消失しました！<br>……ですが、直上に同様の反応が多数！"""
st_064030_0020#0,"""ちっ、まだ来やがるのか！<br>しつこい奴らめ！"""
st_064030_0030#0,"""ファレグから話は聞かせてもらった！<br>迫る外敵の殲滅ならば<br>僕に任せてもらおうか！"""
st_064030_0040#0,"""クソＯＢ！？<br>今取り込み中だ、すっこんでろ！"""
st_064030_0050#0,"""相変わらず辛辣だね後輩君！<br>だが、これを見てもそんなことが言えるかな！"""
st_064030_0060#0,"""さあ、出番だ！<br>第二のエメラルド・タブレットよ！"""
st_064030_0070#0,"""ちょ、超巨大幻創種、出現！<br>浮上していきます……！<br>もう無茶苦茶！"""
st_064030_0080#0,"""何を驚くことがある！<br>僕の大和だ！\u3000これぐらい出来て当然さ！"""
st_064030_0090#0,"""ンなワケあるかぁッ！"""
st_064030_0100#0,"""あいつの具現武装って<br>暴走したんじゃなかったっけ……？"""
st_064030_0110#0,"""第二の、って言いやがったから<br>前のは前のとして、新しいのを<br>作り出したんじゃねえのか……？"""
st_064030_0120#0,"""なんでもできるって思い込んでるヤツは<br>時々とんでもなく強いのよね……"""
st_064030_0130#0,"""自分を棚に上げてるだろ、それ。"""
st_064030_0140#0,"""うっさい！"""
st_064030_0150#0,"""主砲、副砲、照準合わせ……！<br>撃てぇーっ！"""
st_064030_0160#0,"""な、なんか無茶苦茶ですけど<br>こういう戦闘となると<br>あの物量は頼もしいですね！"""
st_064030_0170#0,"""その通り。今は数が重要です。<br>原理は何でも構いません。<br>役立つものは何でも使えばよろしい。"""
st_064030_0180#0,"""ここは私達で抑えましょう。<br><%me>さん。<br>貴方は貴方の為すべき事を、どうぞ。"""
st_064030_0190#0,"""それはおそらく、こちらの世界で<br>やるべきことではないでしょう？"""
st_064030_0200#0,"""ファレグの言う通りよ。<br>こっちはあたし達がなんとかする。"""
st_064030_0210#0,"""敵が来る原因がどっかにあるんだろ？<br>それを潰すのがあんたの役目ってわけだ。"""
st_064030_0220#0,"""助けてもらった手前で、いまいち<br>信用ならないかもしれないが……<br>こっちは任せてくれ。"""
st_064030_0230#0,"""なんてったって<br>神すらぶちのめしてみせた<br>奴らがいるんだぜ、ここにはよ。"""
st_064030_0240#0,"""その辺の有象無象に負けちまったら<br>あいつに何て言えば良いんだよ、なあ？"""
st_064030_0250#0,"""兄さんの言うとおりだよ。<br><%me>。<br>地球はあたしたちが守ってみせる。"""
st_064030_0260#0,"""貴方のようにはいかないと思うけど<br>みんなで力を合わせて頑張るから……<br>貴方も、頑張って。"""
