Begin#0,"""/ci2 1 Tia เริ่ม"""
Success#0,"""/mn1 /ci2 2 Tia สำเร็จ"""
Failure#0,"""/mn1 /ci2 2 Tia ล้มเหลว"""
Dead#0,"""/mn1 /ci2 2 Tia เสียชีวิต"""
BuddyDead#0,"""/mn1 /ci2 2 Tia  Partner เสียชีวิต"""
Evolution#0,"""/mn1 /ci2 2 Tia พัฒนา"""
Begin#1,"""/ci2 1 ティア開始"""
Success#1,"""/mn1 /ci2 2 ティア成功"""
Failure#1,"""/mn1 /ci2 2 ティア失敗"""
Dead#1,"""/mn1 /ci2 2 ティア死亡"""
BuddyDead#1,"""/mn1 /ci2 2 ティア相手死亡"""
Evolution#1,"""/mn1 /ci2 2 ティア発展"""
Begin#2,"""/ci1 1 เอาเถอะ คนที่มองเห็นพวกศัตรู<br>ที่ออกมาเป็นเหมือนเค้ก<br>ก็คงจะมีแต่พวกเราล่ะมั้ง......"""
Success#2,"""/ci1 2 อ๊ะ เดี๋ยวสิ Pati จัง!<br>ขอโทษนะคะ ชั้นขอตัวก่อนล่ะค่ะ<br>ขอบคุณมากนะคะ"""
Failure#2,"""/ci4 1 ไม่ผิดแน่นี่ต้องเป็นความฝัน"""
Dead#2,"""/mn34 /ci4 1 นึกแล้วว่าชั้นไม่ควรจะ<br>บ้าจี้ตามความคิดของ Pati จัง<br>จริงๆ ซะด้วย......"""
BuddyDead#2,"""/ci1 1 ค่าๆ Pati จัง<br>ไว้ค่อยมาใหม่นะ ไว้ค่อยมาใหม่<br>อย่ามัวแต่นอน รีบๆ กลับไปซักทีสิ เอ้าๆ"""
Evolution#2,"""/ci1 2 อ๊ะเปล่าค่ะ ชั้นคิดว่าไม่น่าจะ<br>เกี่ยวกับเค้ก......"""
Begin#3,"""/ci1 1 まあ、出てきたのはエネミーで<br>ケーキのように見られているのは<br>私たちなんだけどね……"""
Success#3,"""/ci1 2 あっ、ちょっとパティちゃん！<br>すみません、これで失礼します。<br>ありがとうございました。"""
Failure#3,"""/ci4 1 間違いなく夢。"""
Dead#3,"""/mn34 /ci4 1 やっぱり、パティちゃんの<br>思いつきなんかに付き合うんじゃ<br>なかったなあ……"""
BuddyDead#3,"""/ci1 1 はいはいパティちゃん<br>出直しだよ、出直し。<br>寝てないでさっさと戻る、ほらほら。"""
Evolution#3,"""/ci1 2 いや、ケーキは関係ないと<br>思うけど……"""
