msc_012140_0010#0,"""……."""
msc_012140_0020#0,"""마논, 왜 그래?"""
msc_012140_0030#0,"""넌……."""
msc_012140_0040#0,"""미안해…….<br>마을을 나서니 눈에 들어와서……."""
msc_012140_0050#0,"""여긴 혹시……."""
msc_012140_0060#0,"""……그래, 묘비다.<br>우리 아크스의."""
msc_012140_0070#0,"""떠난 전사들의 이름이 새겨져 있어."""
msc_012140_0080#0,"""………."""
msc_012140_0090#0,"""묘비 하나에 약 천 명……<br>정도일 거다."""
msc_012140_0100#0,"""그게……이만큼이나……."""
msc_012140_0110#0,"""여기에 이름이 적힐 사람을 한 명이라도 줄이기 위해서…….<br>나는……우리는……“무”를 숭상해야 해."""
msc_012140_0120#0,"""우리는……강해져야 해."""
msc_012140_0130#0,"""………."""
