luck1#0,"""大運"""
luck2#0,"""中運"""
luck3#0,"""小運"""
luck4#0,"""末運"""
NameF#0,"""$(0)の$(1)"""
result1#0,"""{red}〇願望\u3000[No.１-A]<br>{def}万事滞りなく、叶わぬことなし。<br>思うがまま、喜び多し。"""
result2#0,"""{red}〇健康\u3000[No.２-A]<br>{def}十全なり。<br>身体に障害は見当たらず。"""
result3#0,"""{red}〇服装\u3000[No.３-A]<br>{def}流行になる可能性高し。<br>ステージでダンスしてアピールもあり。"""
result4#0,"""{red}〇娯楽\u3000[No.４-A]<br>{def}恐れねば、大勝の可能性高し。<br>一世一代の勝負もあり。"""
result5#0,"""{red}〇生活\u3000[No.５-A]<br>{def}最良の部屋である。<br>また更に飾り立ててもよし。"""
result6#0,"""{red}〇友情\u3000[No.６-A]<br>{def}チームルームで語り合うのがよし。<br>また冒険も絆が深まる兆しあり。"""
result7#0,"""{red}〇冒険\u3000[No.７-A]<br>{def}最良なり。Ｅトライアルを達成するほど<br>運気は上昇するだろう。"""
result8#0,"""{red}〇待人\u3000[No.８-A]<br>{def}音信なく現れる。<br>互いに最良となり得る。"""
result9#0,"""{red}〇戦闘 [No.９-A]<br>{def}有利なり。自分の戦い方ができる。<br>基本を忘れず戦えば最良なり。"""
result10#0,"""{red}〇金運 [No.１０-A]<br>{def}メセタが湯水がごとし。<br>大量のメセタ入手の可能性高し。"""
result11#0,"""{red}〇商売 [No.１１-A]<br>{def}利は高く、徳も得る。<br>よき物に巡り会える兆しあり。"""
result12#0,"""{red}〇行先 [No.１２-A]<br>{def}行く先々に吉兆あり、安心して進め。<br>進む先には幸がある。"""
result13#0,"""{red}〇研究 [No.１３-A]<br>{def}慌てずに行うがよし。<br>努力はやがて実り、運気は上がる。"""
result14#0,"""{red}〇クラフト [No.１４-A]<br>{def}匠の技が光る兆しあり。<br>やがて努力実りて成果となる。"""
result15#0,"""{red}〇技芸 [No.１５-A]<br>{def}ＰＡやテクニックでの攻撃に吉あり。<br>戦闘において活躍できる可能性高し。"""
result16#0,"""お、最高の運勢みたいだぜ？<br>やっぱいい結果だと嬉しいよな！<br>{red}― [No.１６]ゼノ ―"""
result17#0,"""よう、相棒！\u3000最高の運勢みたいだぜ！<br>おれにも運が向いてこないかな―。<br>{red}― [No.１７]アフィン ―"""
result18#0,"""や―、見事見事。大当たりだよ―。<br>運も実力のうちってね、おめでと―。<br>{red}― [No.１８]クロト ―"""
result19#0,"""見事なもんだな、最高の運勢だぞ。<br>この勢いで、ハンタ―の修行はどうだ？<br>{red}― [No.１９]オ―ザ ―"""
result20#0,"""素晴らしい結果だな！\u3000最高の運勢だ！<br>何を隠そう私も昔、おみくじで……<br>{red}― [No.２０]ジャン ―"""
result21#0,"""幸運を掴むのは、己の手だ。<br>励みにして精進するといいぞ。<br>{red}― [No.２１]レギアス ―"""
result22#0,"""素晴らしい運勢みたいですよ。<br>よかったですね。根拠はないですけど。<br>{red}― [No.２２]カスラ ―"""
result23#0,"""オレが書いたおみくじを引いた！<br>つまり幸運ということだ！\u3000たぶんな！<br>{red}― [No.２３]ヒュ―イ ―"""
result24#0,"""やりましたよ先生！\u3000最高の運勢です！<br>お見事としか言いようがありません！<br>{red}― [No.２４]ルベルト ―"""
result25#0,"""やったじゃない、すごくいいやつだよ！<br>いい結果だとやっぱり嬉しいよね。<br>{red}― [No.２５]エコ― ―"""
result26#0,"""うん、いちばんいい運勢みたい。<br>なんだか、わたしも嬉しいな。<br>{red}― [No.２６]マトイ ―"""
result27#0,"""わわっ、最高の運勢ですよ！<br>私も引いてみたいです！<br>{red}― [No.２７]フ―リエ ―"""
result28#0,"""い―なぁ―！\u3000最高の運勢だって！<br>金運アップだとなおよしだね―！<br>{red}― [No.２８]パティ ―"""
result29#0,"""運勢、すっごくいいみたいだよ。<br>願い事とか叶うかもしれないね。<br>{red}― [No.２９]ティア ―"""
result30#0,"""……すごく、いい運勢みたい。<br>……いいことが、起きるといいわね。<br>{red}― [No.３０]マ―ル― ―"""
result31#0,"""ふふふっ、いい運勢みたいですよお。<br>好きなだけ撃ち放題ですねえ。<br>{red}― [No.３１]リサ ―"""
result32#0,"""おっ、貴様、最高の運勢みたいだぞ！<br>つまり、爆破し放題だ！\u3000喜ぶといい！<br>{red}― [No.３２]クラリスクレイス ―"""
result33#0,"""結果は最高みたい！\u3000おめでとう！<br>お祝いのライブでも開いちゃおうか？<br>{red}― [No.３３]ク―ナ ―"""
result34#0,"""やったな、センパイ。いい運勢だって。<br>根拠はなくても、励みになるよな。<br>{red}― [No.３４]イオ ―"""
result35#0,"""す、すごいです！\u3000最高の運勢ですよ！<br>先輩は運も味方にしちゃうんですね！<br>{red}― [No.３５]ロッティ ―"""
result1#1,"""{red}〇願望\u3000[No.１-B]<br>{def}着実に叶う。<br>あきらめずに精進すべし。"""
result2#1,"""{red}〇健康\u3000[No.２-B]<br>{def}身体にさわりなく運勢はよし。<br>待てばやがて平癒する。"""
result3#1,"""{red}〇服装\u3000[No.３-B]<br>{def}流行の兆しあり。<br>服装を変えてみるのも吉。"""
result4#1,"""{red}〇娯楽\u3000[No.４-B]<br>{def}周りの人が運気を呼ぶ。<br>個人よりも複数人で行う賭けが吉。"""
result5#1,"""{red}〇生活\u3000[No.５-B]<br>{def}賑やかな部屋に福来たる。<br>部屋を飾り人を招くがよし。"""
result6#1,"""{red}〇友情\u3000[No.６-B]<br>{def}フレンドにグッジョブを送るとよし。<br>絆は深まり、大きな幸せとなるだろう。"""
result7#1,"""{red}〇冒険\u3000[No.７-B]<br>{def}向かうべき方向はおのずと見える。<br>先頭に立ってパーティーを導くとよし。"""
result8#1,"""{red}〇待人\u3000[No.８-B]<br>{def}来たる。待てばよし。<br>相互の行き違いにのみ注意すべし。"""
result9#1,"""{red}〇戦闘 [No.９-B]<br>{def}勝利を得やすく、戦いやすい。<br>されど油断はするべからず。"""
result10#1,"""{red}〇金運 [No.１０-B]<br>{def}多くのメセタを得られる兆しあり。<br>その分、争いも増える。"""
result11#1,"""{red}〇商売 [No.１１-B]<br>{def}運勢はよく、流れも悪くない。<br>注意すれば損はしづらい。"""
result12#1,"""{red}〇行先 [No.１２-B]<br>{def}行き先に良縁あり。<br>恐れずに進めば、さらなる転機が。"""
result13#1,"""{red}〇研究 [No.１３-B]<br>{def}成果はいずれ出る。<br>安心して挑戦し続けてよい。"""
result14#1,"""{red}〇クラフト [No.１４-B]<br>{def}匠の技を信じる者あり。<br>その者のために腕をふるうのもあり。"""
result15#1,"""{red}〇技芸 [No.１５-B]<br>{def}ＰＡやテクニックを多用してもよし。<br>それが決め手になる可能性高し。"""
result1#2,"""{red}〇願望\u3000[No.１-C]<br>{def}身の丈に合うものは叶う。<br>よく見定めるが吉。"""
result2#2,"""{red}〇健康\u3000[No.２-C]<br>{def}混乱に見舞われる可能性あり。<br>やがて快方へ向かう、あわてず待て。"""
result3#2,"""{red}〇服装\u3000[No.３-C]<br>{def}流行を気にせぬ姿勢もよし。<br>己の一張羅を貫くのもあり。"""
result4#2,"""{red}〇娯楽\u3000[No.４-C]<br>{def}損得を気にせずに行うと吉。<br>欲張ることで運気が逃げ、損をする。"""
result5#2,"""{red}〇生活\u3000[No.５-C]<br>{def}他者の部屋を訪問することよし。<br>新たな出会いにより冒険が進む。"""
