st_057110_0220#0,"""你回來了、克拉麗莎。"""
st_057110_0230#0,"""你帶過來了啊。<br>我的玩伴。"""
st_057110_0240#0,"""帶來了……克拉麗莎桑！？<br>你是……！"""
st_057110_0250#0,"""……是的。<br>我也已經死了。"""
st_057110_0260#0,"""現在的我、是由芙洛創造出來的。<br>按照芙洛的意願行動的東西。"""
st_057110_0270#0,"""如果芙洛需要朋友的話<br>就會帶過來。這就是我的使命。"""
st_057110_0280#0,"""你騙了大家嗎？"""
st_057110_0290#0,"""想要拯救的話是騙人的？"""
st_057110_0300#0,"""…………那是。"""
st_057110_0310#0,"""喂、不要無視我啊！<br>夠礙事的了、克拉麗莎！"""
st_057110_0320#0,"""克拉麗莎桑！？<br>你把她弄到哪裏去了！"""
st_057110_0330#0,"""嗯？　你想見克拉麗莎嗎？<br>那種東西無論多少、都能做出來。<br>你看。"""
st_057110_0340#0,"""啊？"""
st_057110_0350#0,"""！？"""
st_057110_0360#0,"""不光是克拉麗莎。<br>我還有很多朋友！"""
st_057110_0370#0,"""你看、很厲害吧<br>遊戲的夥伴<br>能做出來很多呢！"""
st_057110_0380#0,"""増殖魔術……？　模倣体……？<br>不、不是那種程度的東西。"""
st_057110_0390#0,"""難道是、從阿卡西記錄中<br>創造出來的？！"""
st_057110_0400#0,"""……那就來玩吧！<br>大家很容易就壞了<br>很無聊啊！"""
st_057110_0410#0,"""所以、我要求克拉麗莎<br>去帶不會壞<br>的玩具來玩！"""
st_057110_0420#0,"""就是你們。<br>……所以、盡情地玩吧！"""
st_057110_0430#0,"""遊戲的夥伴、在這裏哦！<br>我和我、來玩吧！<br>一起玩一起玩、開心吧！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
