name_7234#0,"""ペッピーラッピー"""
name_7224#0,"""シトレー"""
ssn_019080_002_0001#0,"""やあ、キミはラッピーが好きかいっ!?"""
ssn_019080_002_0002#0,"""私は大好きさっ！"""
ssn_019080_002_0003#0,"""……あっ、すまない。<br>私としたことが話を急ぎ過ぎてしまった。"""
ssn_019080_002_0004#0,"""自己紹介が遅れたね。私は、ラッピーが大好きな<br>“ラッピーお兄さん”ことペッピーラッピーだ。"""
ssn_019080_002_0005#0,"""聞いてほしい！"""
ssn_019080_002_0006#0,"""このハルファで今、ラッピーが大量発生している。<br>しかも、さまざまな種類のラッピーが一斉に！"""
ssn_019080_002_0007#0,"""そこで、キミに調査をお願いしたいんだ。<br>今、ハルファ中に、どれだけのラッピーがいるのかを！"""
ssn_019080_002_0008#0,"""ラッピー好きにしか成し遂げられない、<br>きわめて困難なミッションだ！"""
ssn_019080_002_0009#0,"""だが、さまざまな経験を積んできた<br>キミならきっとやりとげてくれると信じている。"""
ssn_019080_002_0010#0,"""キミのラッピーへの“愛”を<br>見させてくれ！"""
ssn_019080_002_0011#0,"""やあ、見させてもらったよ！<br>私の目に狂いはなかったようだね。"""
ssn_019080_002_0012#0,"""キミになら、<br>私の真の願いを叶えてもらえそうだ。"""
ssn_019080_002_0013#0,"""実は、ある研究データから、<br>今回のラッピー大量発生は予測されていてね。"""
ssn_019080_002_0014#0,"""それに呼応して、<br>ある空間が出現すると言われている……。"""
ssn_019080_002_0015#0,"""あらゆるラッピーたちが集う、<br>“ラッピーの集会場”が！"""
ssn_019080_002_0016#0,"""そして、その集会場には、<br>ラッピーたちの王が降臨する！"""
ssn_019080_002_0017#0,"""これが、事実だとしたら大変な発見だ。<br>ぜひとも、この目で見てみたい！"""
ssn_019080_002_0018#0,"""だが、“ラッピーの集会場”が現れるのは、<br>安全な場所だけ。"""
ssn_019080_002_0019#0,"""“ドレッドエネミー”が徘徊するような危険な場所には、<br>ラッピーたちは集まらないだろう。"""
ssn_019080_002_0020#0,"""まずはエネミーを倒し、周囲の安全を確保してから、<br>“ラッピーの集会場”を探してみてくれないか！"""
ssn_019080_002_0021#0,"""本当は、私自身の足で探したいのだが、<br>仕事が立て込んでいて、この場を離れられない。"""
ssn_019080_002_0022#0,"""キミになら、私の夢を託すことができる。<br>頼んだよ。"""
ssn_019080_002_0023#0,"""戻ってきたね。<br>“ラッピーの集会場”を見つけてくれてありがとう。"""
ssn_019080_002_0024#0,"""永きにわたる私の宿願は、ついに果たされた。<br><%me>くん、感謝しているよ。"""
ssn_019080_002_0025#0,"""……しかし、こうなると欲が出てくるね。<br>まだまだラッピーは多くの謎に包まれたままだ。"""
ssn_019080_002_0026#0,"""キミは、“セレモ・グレトラッピー”には<br>出会えただろうか？"""
ssn_019080_002_0056#0,"""今の時期だけ見られる、“セレモ・ラッピー”の<br>王のなかの王とも呼ぶべき存在だ。"""
ssn_019080_002_0027#0,"""これまでに発見例はなく、伝説の存在と言われているが、<br>ラッピーの大量発生が起きた今、なにがあってもおかしくない！"""
ssn_019080_002_0028#0,"""この“セレモ・グレトラッピー”を見つけたら、<br>教えてくれないだろうか。"""
ssn_019080_002_0029#0,"""こんなチャンスは、二度とないかもしれないんだ！<br>よろしく頼むよ。"""
ssn_019080_002_0030#0,"""キミと私のラッピーへの深い愛が、<br>きっと奇跡を起こすだろう。私はそれを信じているよ。"""
ssn_019080_002_0031#0,"""……おかえり。<br>本当にすばらしい時間だった。"""
ssn_019080_002_0032#0,"""今回は、私のわがままに<br>付き合ってくれてありがとう。"""
ssn_019080_002_0033#0,"""この感謝の気持ちを、ぜひカタチにしたい。<br>欲しいものがあったらなんでも言ってくれ。"""
ssn_019080_002_0034#0,"""私の権限の範囲内であれば、<br>ある程度のことはしてあげられると思う。"""
ssn_019080_002_0035#0,"""あーあー、聞こえるかな？<br>キミが、<%me>だよね？"""
ssn_019080_002_0036#0,"""あーあー、聞こえるかな？<br>久しぶり、補給担当のシトレーだよ。"""
ssn_019080_002_0037#0,"""いきなりの連絡でごめんね。<br>ボクはアークス補給担当のシトレー。"""
ssn_019080_002_0038#0,"""なんか上司……あ、いや、ペッピーラッピーが<br>迷惑かけてるって聞いてね。"""
ssn_019080_002_0039#0,"""シトレー、私は今、<br>ふたりで感動をわかちあって……。"""
ssn_019080_002_0040#0,"""今後の補給プランの資料、<br>チェックしてくれました？"""
ssn_019080_002_0041#0,"""……まだ見てない……。"""
ssn_019080_002_0042#0,"""今日中に決裁してください。"""
ssn_019080_002_0043#0,"""……というわけで、仕事が溜まっちゃってて、<br>もしかしたらキミにもお願いをするかもしれないんだ。"""
ssn_019080_002_0044#0,"""申し訳ないけど、そのときはよろしくね。<br>それじゃ！"""
ssn_019080_002_0045#0,"""なにはともあれ、今回の恩は決して忘れないよ。<br>困ったことがあったら、遠慮なく言ってほしい。"""
ssn_019080_002_0046#0,"""これからもラッピー大好き仲間として、<br>よろしく！"""
ssn_019080_002_0047#0,"""<%me>くん、よく来たね。<br>ラッピーライフは順調かい？"""
ssn_019080_002_0048#0,"""それはそうと、<br>なにか交換していくかい？"""
ssn_019080_002_0049#0,"""“ラッピーの集会場”は<br>まだ見つけられてないみたいだね。"""
ssn_019080_002_0050#0,"""ドレッドエネミーを倒して、<br>安全な場所を作るんだ。"""
ssn_019080_002_0051#0,"""それはそうと、<br>なにか交換していくかい？"""
ssn_019080_002_0052#0,"""む、むう……。<br>水を差されてしまった。"""
ssn_019080_002_0053#0,"""“ラッピーの集会場”は<br>まだ見つけられてないみたいだね。"""
ssn_019080_002_0054#0,"""ドレッドエネミーを倒して、<br>安全な場所を作るんだ。"""
ssn_019080_002_0055#0,"""それはそうと、<br>なにか交換していくかい？"""
npc_menu_0001#0,"""チケットと交換する"""
npc_menu_0002#0,"""シーズナルポイントと交換する（$(0)まで）"""
npc_menu_0003#0,"""シーズナルイベントについて聞く"""
npc_menu_0004#0,"""メニューを閉じる"""
npc_menu_0005#0,"""“シーズナルイベント”について"""
npc_menu_0006#0,"""“シーズナルイベントキャラクター”について"""
npc_menu_0007#0,"""“デイリー／ウィークリータスク”について"""
npc_menu_0008#0,"""“ミスチーフシンボル”について"""
npc_menu_0009#0,"""“シーズナルギャザリング”について"""
