name01#0,"""Risa"""
name01#1,"""リサ"""
text01#0,"""โอ... มันจบแล้วเหรอ? <br>ข้าหวังว่าเราจะได้สนุกกันต่ออีกหน่อย"""
text02#0,"""ข้าคิดว่ามันจะมีศัตรูมากกว่านี้<br>แต่มันก็ตายหมดแล้ว """
text03#0,"""และมันเยี่ยมไปเลยใช่มั้ย<br>ถ้าเราสามารถไปต่อได้ <br>จะได้เลือกว่าจะไปไหนอีกไง"""
11_voice_NPC_5026_101#0,"""การมีชีวิตอยู่สำคัญมาก <br>เจ้าจะได้ฆ่าศัตรูอีกเยอะเลยในอนาคต"""
text05#0,"""เยี่ยมไปเลยใช่ไหม?<br>โอเค กลับบ้านกัน"""
text01#1,"""あーあ、終わっちゃいましたねえ。<br>もう少し楽しみたかったんですけど<br>まあ、仕方がないですねえ。"""
text02#1,"""敵さんにだって、限界はありますから<br>死んだなら、もう仕方がないですねえ。<br>どれだけ強くても仕方がないですねえ。"""
text03#1,"""でもでもお、リサやあなたは自分の<br>引き際を見極められるから<br>幸せですよねえ。"""
11_voice_NPC_5026_101#1,"""生きていれば、またその後に<br>たくさんいっぱいの敵さんを<br>殺して殺して殺して殺せます。"""
text05#1,"""それって、とってもとっても<br>いいことなんですよお？<br>……ですから、帰りましょうかあ。"""
