IncidentName#0,"""หนีจาก Ignix และกำจัดผู้บงการ !"""
TrialBeginMsg#0,"""กำจัดผู้บงการ<br>และยับยั้ง Ignix ให้ได้ !"""
TrialAbstract#0,"""กำจัดผู้บงการ<br>และยับยั้ง Ignix ให้ได้ !"""
IncidentName#1,"""イグニクスから逃れ、元凶を撃破せよ！"""
TrialBeginMsg#1,"""元凶のエネミーを倒し<br>イグニクスを停止させろ！"""
TrialAbstract#1,"""元凶のエネミーを倒し<br>イグニクスを停止させろ！"""
NpcComOnBegin#0,"""ตรวจพบแรงระเบิดจากพลังงานที่ผิดปกติ !<br>ต้องเป็นฝีมือของ D-arker ที่ชื่อ Ignix ไม่ผิดแน่ค่ะ !"""
NpcComOnBegin1#0,"""ความเสียหายจาก Ignix ขยายวงกว้างขึ้นเรื่อยๆแล้วค่ะ !<br>โปรดรีบออกจากบริเวณนั้นโดยด่วน !"""
NpcComOnBegin2#0,"""ต้องมีใครอยู่เบื้องหลังเรื่องนี้แน่ !<br>ระวังแรงระเบิดให้ดีแล้วรีบจัดการมันเร็วเข้าเถอะค่ะ !"""
NpcComBossInfo#0,"""$(0) !<br>คาดว่ามันคือตัวการของเรื่องนี้แน่ !<br>รีบจัดการมันเดี๋ยวนี้เลยค่ะ !"""
NpcComOnSuccess#0,"""ไม่พบปฏิกริยาจากศัตรูหลงเหลือ<br>Ingix เองก็หายไปด้วย<br>ทำได้ดีมากค่ะ"""
NpcComOnBegin#1,"""異常エネルギーの爆発を検知！<br>これは、イグニクスと呼称される<br>ダーカーの空間制圧兵器です！"""
NpcComOnBegin1#1,"""イグニクスは時間と共に範囲を広げ<br>脅威を増していきます！<br>至急、その場から移動してください！"""
NpcComOnBegin2#1,"""どこかに元凶となる敵性存在が<br>いるはずです。爆発に注意しつつ<br>早急な撃破をお願いします！"""
NpcComBossInfo#1,"""$(0)！<br>そのエネミーが現象の元凶です！<br>至急撃破を！"""
NpcComOnSuccess#1,"""敵性存在の消失確認と同時に<br>イグニクスの反応も消滅しました。<br>お疲れ様でした。"""
NpcComOnBegin#2,"""ตรวจพบแรงระเบิดจากพลังงานที่ผิดปกติ<br>ต้องเป็นฝีมือของ D-arker ที่ชื่อ Ignix ไม่ผิดแน่<br>รีบหนีออกจากบริเวณนั้นเร็วเข้า"""
NpcComOnBegin1#2,"""ความเสียหายจาก Ignix ขยายวงกว้างขึ้นเรื่อยๆ"""
NpcComOnBegin2#2,"""ต้องมีใครอยู่เบื้องหลังเรื่องนี้แน่<br>รีบหามันให้เจอแล้วกำจัดทิ้งซะ"""
NpcComBossInfo#2,"""$(0)<br>มันคือตัวการของเรื่องนี้เองสินะ<br>รีบจัดการมันซะ"""
NpcComOnSuccess#2,"""ไม่พบปฏิกริยาจากศัตรูหลงเหลือ<br>Ingix เองก็หายไปด้วย<br>ดีมาก กลับไปทำภารกิจหลักต่อได้"""
NpcComOnBegin#3,"""イグニクスと呼称されている<br>ダーカーの空間制圧兵器の発動を確認。<br>至急、その場から移動しろ。"""
NpcComOnBegin1#3,"""イグニクスは時間とともに<br>その効果範囲を広げる性質を持つ。"""
NpcComOnBegin2#3,"""どこかに元凶となる存在がいるはずだ。<br>早急に見つけだし、撃破しろ。"""
NpcComBossInfo#3,"""$(0)か。<br>そいつが元凶のようだな。<br>ただちに撃破しろ。"""
NpcComOnSuccess#3,"""敵性反応の消失とともに<br>イグニクスの反応も消滅を確認。<br>よし、通常任務に戻れ。"""
NpcComOnBegin#4,"""เอ๋ ? อะไรระเบิดน่ะ ?<br>หรือว่าจะเป็น Ignix !"""
NpcComOnBegin1#4,"""แรงระเบิดนั่นเกิดจากฝีมือของพวก D-arker ค่า !<br>อันตรายมากนะคะ รีบหนีเร็วเข้า !"""
NpcComOnBegin2#4,"""ต้องมีคุณศัตรูตัวร้ายบงการ Ignix อยู่แน่เลย !<br>รีบหาให้เจอแล้วกำจัดมันทิ้งเถอะค่ะ !"""
NpcComBossInfo#4,"""อ๊ะ $(0) !<br>หมอนี่แหละค่า ! ตัวต้นเหตุ !<br>รีบจัดการมันเร็วๆเข้า !"""
NpcComOnSuccess#4,"""ไม่พบปฏิกริยาจากศัตรูหลงเหลือ<br>Ingix เองก็หายไปด้วย<br>เฮ้อ รอดไปทีนะคะ !"""
NpcComOnBegin#5,"""ええっ？\u3000爆発！？<br>これはもしかして、イグニクス！"""
NpcComOnBegin1#5,"""その辺に爆発を発生させる<br>ダーカーの兵器ですよー！<br>危険、危険です！\u3000急いで逃げてー！"""
NpcComOnBegin2#5,"""どこかにイグニクスを発生させている<br>わるーい、敵さんがいます！<br>探して倒しちゃってください！"""
NpcComBossInfo#5,"""あっ、$(0)！<br>あれが原因です！\u3000あいつのせいです！<br>急いで撃破しちゃってくださいー！"""
NpcComOnSuccess#5,"""敵性反応の消失にあわせて<br>イグニクスの沈静化を確認しましたー！<br>ふぅー、よかったです！"""
