name01#0,"""シエラ"""
text01#0,"""ツインマシンガンの武器アクションは<br><red>リロードによるＰＰ回復<c>になります。"""
text02#0,"""武器アクションボタンを<red>押している間は<br>リロードを継続<c>させることが出来ます。"""
text03#0,"""また、<red>ジャストアタックタイミングで<br>リロード<c>を行うと「ジャストリロード」<br>が発生。ＰＰ回復速度が上昇します。"""
text101#0,"""課題４：<yellow>ツインマシンガンのリロードを２秒成功させる"""
train_title#0,"""課題４：<yellow>ツインマシンガンのリロードを２秒成功させる"""
tut_title#0,"""リロードについて"""
text100#0,"""・<%WeaponAction>で武器アクションを２秒行う"""
text100_3b#0,"""・<%MainPaletteC>で武器アクションを２秒行う"""
tut_win_title#0,"""『ヒーローＴマシンガン』について"""
tut_win_text100#0,"""ヒーローＴマシンガンは、<br>通常攻撃でＰＰを消費します。<br><br>ＰＰを回復するためには武器アクション<br>「リロード」を使用しましょう。<br><br>武器アクションボタンを押している間は<br>リロードを継続させることが出来ます。<br><br>また、ジャストアタックタイミングで<br>リロードを行うと「ジャストリロード」<br>が発生し、ＰＰ回復速度が上昇します。"""
