11_voice_NPC_5087_100#0,"""ไง โอเคแล้วใช่ปะ?<br>ง่ายๆก็คือ Katana เป็นอาวุธ<br>ที่ต้องอาศัยการจับจังหวะน่ะนะ"""
text02#0,"""สูดลมหายใจเข้าไป แล้วชักออกมาพิฆาตในอึดใจเดียว !<br>ทุกอย่างขึ้นอยู่กับการกำหนดลมหายใจเข้าออกแหละ"""
text03#0,"""พื้นฐานก็มีแค่นี้เอง !<br>ที่เหลือก็อยู่ที่ท่านจะไปขัดเกลา<br>ให้เก่งขึ้นได้แค่ไหนอ่ะนะ"""
text04#0,"""พยายามฝึกบ่อยๆเข้าไว้ !<br>เอิ่ม ถึงชั้นจะพูดไปแบบนั้น<br>แต่ตัวเองก็ยังกากอยู่อ่ะ ไว้เจอกันใหม่น้า"""
text05#0,"""เกี่ยวกับ [Katana Gear]"""
text06#0,"""ข้อมูลเกี่ยวกับระบบ Gear ของ Katana<br><br>หลังจากเรียนรู้สกิล Katana Gear แล้ว<br>จะปรากฏ GearGuage ขึ้นบน MainPallete<br><br>และขีดบน GearGuage จะเพิ่มขึ้นต่อเมื่อทำการโจมตีอย่างต่อเนื่องด้วย Katana"""
text07#0,"""เมื่อ GearGuage เพิ่มขึ้น จะมีผลให้การ JustCounter ด้วย Katana มีระยะกว้างขึ้น<br>รวมถึงมีพลังทำลายรุนแรงขึ้นด้วย<br><br>และเมื่ออยู่ในสถานะที่ GearGuage เพิ่มถึงขีดสุด<br>การ JustCounter จะมีพลังทำลายสูงขึ้นในชั่วระยะเวลาหนึ่ง<br><br>ยิ่งสะสม GearGuage ได้มากเท่าไหร่ JustCounter ก็ยิ่งรุนแรงขึ้นเท่านั้น<br>โดยสรุป ระบบ Gear ของ Katana จะช่วยให้การ JustCounter สำเร็จได้ง่ายขึ้น<br>รวมทั้งรุนแรงขึ้นด้วย"""
11_voice_NPC_5087_100#1,"""どう、わかった？<br>カタナは、なによりタイミングが<br>重要な武器なんだよねー。"""
text02#1,"""呼吸を整えて、一気にずばっと抜刀！<br>呼吸を合わせて、後の先を取る！"""
text03#1,"""これだけ覚えときゃ大丈夫！<br>あとはどんどん経験を<br>積むっきゃないよ。"""
text04#1,"""日々努力に研鑽！<br>って、わたしも偉そうなこと<br>言えた身分じゃないけど、またねー。"""
text05#1,"""『カタナギア』について"""
text06#1,"""カタナのギアシステムについて、説明します。<br><br>スキル「カタナギア」を習得している場合には<br>メインパレットの上部にギアゲージが追加されます。<br><br>カタナの攻撃をヒットさせると、ギアゲージが蓄積されていきます。"""
text07#1,"""ギアゲージが高まるとカタナによるジャストカウンター攻撃の<br>範囲が広くなり、また威力も上昇します。<br><br>ギアを最大まで溜めた状態でジャストカウンターを行うと、<br>一定時間攻撃力にボーナスを得ることができます。<br><br>ギアゲージを溜めることでジャストカウンターが強くなり、<br>ジャストカウンターを成功させることでさらに強くなっていくのが<br>カタナのギアシステムです。"""
