name01#0,"""Patti"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
11_voice_NPC_5014_100#0,"""Oh? Could it be?<br>Will you accept my request!<br>Woohoo, I can relax!"""
text02#0,"""Wrong, idiot. Your writing on the request<br>form was just illegible so they're<br>coming to ask about it, moron."""
11_voice_NPC_5014_104#0,"""The motive for the request is written there, but the purpose was omitted...<br>I'm sorry for neglecting my supervision."""
text04#0,"""Well, I mean, anyone<br>can make a mistake.<br>Don't worry about it, Tia!"""
text05#0,"""You're the idiot that made the mistake.<br>...*cough*, erm, the purpose is to clear the dragon altar probe with an S rank."""
text06#0,"""The complete mastery of the planet Amduskia dragon altar! I want you to be like, just leave the dragon altar to me!"""
text07#0,"""Honestly, we want to go with you,<br>but we've got another investigation...<br>Sorry, but good luck."""
11_voice_NPC_5014_100#1,"""おっおっ？　もしかしてもしかして？<br>依頼受けてくれるのー！<br>やったー、楽できるー！"""
text02#1,"""違うよバカ姉。パティちゃんの書いた<br>依頼文じゃ内容わからないから<br>聞いてきてるんだよバカ姉。"""
11_voice_NPC_5014_104#1,"""依頼の動機は書いてある通りなんだけど<br>目標について記載が漏れてる……<br>私の監督不行届、ごめんなさい。"""
text04#1,"""まーまー、誰にだって<br>間違いはあるよー。<br>ドンマイ、ティア！"""
text05#1,"""間違えてるのはおまえだよバカ姉。<br>……こほん、ええっと、目標は<br>龍祭壇探索のＳランクでのクリアかな。"""
text06#1,"""惑星アムドゥスキアの龍祭壇完全制覇！<br>龍祭壇のことならバリバリ任せろ！<br>って、なってほしいんだよねー！"""
text07#1,"""本当は私たちも同行したいんだけど<br>その他の調査があって……<br>ごめんなさい、よろしく。"""
