NAME#0,"""Bhea"""
NICKNAME#0,"""Skill Counter Clerk"""
NAME#1,"""ビア"""
NICKNAME#1,"""スキルカウンター係員"""
HELLO#0,"""นี่คือที่ๆดูแลจัดการ<br>เรื่องที่เกี่ยวกับ Class"""
HELLO_FAV4#0,"""นี่คือที่ๆดูแลจัดการ<br>เรื่องที่เกี่ยวกับ Class"""
HELLO_FAV3#0,"""นี่คือที่ๆดูแลจัดการ<br>เรื่องที่เกี่ยวกับ Class"""
HELLO_FAV2#0,"""นี่คือที่ๆดูแลจัดการ<br>เรื่องที่เกี่ยวกับ Class"""
HELLO_FAV1#0,"""นี่คือที่ๆดูแลจัดการ<br>เรื่องที่เกี่ยวกับ Class"""
HELLO_FAV0#0,"""นี่คือที่ๆดูแลจัดการ<br>เรื่องที่เกี่ยวกับ Class"""
Q0#0,"""นี่คือที่ๆดูแลจัดการ<br>เรื่องที่เกี่ยวกับ Class"""
GOODBYE#0,"""หากท่านต้องการอะไรก็มาได้ทุกเมื่อนะ"""
GOODBYE_FAV4#0,"""หากท่านต้องการอะไรก็มาได้ทุกเมื่อนะ"""
GOODBYE_FAV3#0,"""หากท่านต้องการอะไรก็มาได้ทุกเมื่อนะ"""
GOODBYE_FAV2#0,"""หากท่านต้องการอะไรก็มาได้ทุกเมื่อนะ"""
GOODBYE_FAV1#0,"""หากท่านต้องการอะไรก็มาได้ทุกเมื่อนะ"""
GOODBYE_FAV0#0,"""หากท่านต้องการอะไรก็มาได้ทุกเมื่อนะ"""
HELLO#1,"""こちらではクラスに関わる<br>処理が行えます"""
HELLO_FAV4#1,"""こちらではクラスに関わる<br>処理が行えます"""
HELLO_FAV3#1,"""こちらではクラスに関わる<br>処理が行えます"""
HELLO_FAV2#1,"""こちらではクラスに関わる<br>処理が行えます"""
HELLO_FAV1#1,"""こちらではクラスに関わる<br>処理が行えます"""
HELLO_FAV0#1,"""こちらではクラスに関わる<br>処理が行えます"""
Q0#1,"""こちらではクラスに関わる<br>処理が行えます"""
GOODBYE#1,"""また、いつでもどうぞ"""
GOODBYE_FAV4#1,"""また、いつでもどうぞ"""
GOODBYE_FAV3#1,"""また、いつでもどうぞ"""
GOODBYE_FAV2#1,"""また、いつでもどうぞ"""
GOODBYE_FAV1#1,"""また、いつでもどうぞ"""
GOODBYE_FAV0#1,"""また、いつでもどうぞ"""
00_01#0,"""ตัวเลือก 1"""
00_02#0,"""ตัวเลือก 2"""
TALK_ST#0,"""คุย"""
C_ORDER_ST#0,"""ฟัง"""
00_01#1,"""選択肢その１"""
00_02#1,"""選択肢その２"""
TALK_ST#1,"""会話する"""
C_ORDER_ST#1,"""相談を聞く"""
