IncidentName#0,"""ทำลายศัตรูทั้งหมด!"""
TrialBeginMsg#0,"""ระวังพื้นให้ดีระหว่างที่ท่านกำจัดศัตรู!"""
TrialAbstract#0,"""ระวังพื้นให้ดีระหว่างที่ท่านกำจัดศัตรู!"""
IncidentName#1,"""全てのエネミーを撃破せよ！"""
TrialBeginMsg#1,"""足場に気を付けつつ、エネミーを倒せ！"""
TrialAbstract#1,"""足場に気を付けつつ、エネミーを倒せ！"""
NpcComOnBegin#0,"""/face2 โอ๊ะ พื้นที่ถูกเปลี่ยนเป็น Training Mode!"""
NpcComOnSuccess#0,"""/face2 การฝึกเสร็จสมบูรณ์!<br>ทำได้ดีมาก!"""
DirectionAim#0,"""กรอบเพียง ปัจจุบันโหมดการติดตามที่ไม่ได้ใช้"""
DirectionRandom#0,"""/face2 ระวัง! พื้นที่เหยียบจะสร้างความเสียหายได้!<br>ไม่ใช่แค่ศัตรูเท่านั้นที่ต้องจับตาดู ระวังเท้าด้วย"""
DamageHalf#0,"""/face2 จำนวนช่องพื้นที่ปลอดภัยลดลงเรื่อยๆแล้ว<br>เร็วเข้าๆ"""
DamageMax#0,"""/face2 อยู่ในสภาพแบบนั้นแต่ยังสามารถต่อสู้ได้อีก....<br>โห.....สุดยอดมาก...."""
NpcComOnBegin#1,"""/face2 おやっ、フィールドが訓練モードに<br>切り替わったみたいですね！"""
NpcComOnSuccess#1,"""/face2 はーい、訓練終了です！<br>ほんと、おつかれさまでした！"""
DirectionAim#1,"""枠だけ。現状、追跡モードは未使用"""
DirectionRandom#1,"""/face2 この状態の時は、徐々に足場が<br>ダメージゾーンに変わっていきますから<br>敵だけじゃなく、足下にも注意ですよ！"""
DamageHalf#1,"""/face2 どんどん安全な足場がなくなって<br>いってますよ、急いで急いで－！"""
DamageMax#1,"""/face2 この状況でまだ戦えるんですか……<br>ふはー、すごいですねぇ……"""
