text00#0,"""バトルアリーナ管理官、ラベルナだ。<br>質問は手短に頼む。"""
text01#0,"""『エンブレム争奪戦のルール』について"""
text02#0,"""『エンブレム』について"""
text07#0,"""『ユニオン』について"""
text03#0,"""『武器の入手』について"""
text05#0,"""『武器の詳細』について"""
text04#0,"""『バトルエリア』について"""
text06#0,"""『共通シップ』について"""
text99#0,"""この場を離れる"""
text00#1,"""基本的なルールの確認だな。<br>まずはこれを見てくれ。"""
text01#1,"""大まかなルールは以上だ。<br>後は実戦を繰り返して<br>身体に叩き込むといい。"""
text00#2,"""エンブレムについて、だな。<br>まずはこれを見てくれ。"""
text01#2,"""高得点のエンブレムの発生場所は<br>激戦区になりやすい。"""
text02#1,"""先んじてその場を制圧できれば<br>戦いを有利に運べるだろう。<br>覚えておくといい。"""
text00#3,"""武器の入手について、だな。<br>まずはこれを見てくれ。"""
text01#3,"""苦手とする武器しか手に入らなくても<br>諦めずに使ってみるといい。<br>その経験は、いずれ力になるはずだ。"""
text02#2,"""苦手とする武器しか手に入らなくても<br>諦めずに使ってみるといい。<br>その経験は、いずれ力になるはずだ。"""
text00#4,"""バトルエリアについて、だな。<br>まずはこれを見てくれ。"""
text01#4,"""バトルエリアにはそれぞれ特色がある。<br>それに合わせた戦い方を身につけねば<br>勝利することは難しいだろう。"""
text02#3,"""まずは経験を積むことだ。<br>納得がいくまで、何度もな。"""
text00#5,"""はい、承りました。<br>チャレンジ中のアドバイスを<br>行わないように致します。"""
text01#5,"""ですが、重要な箇所に関しては<br>今までどおりご案内致しますので<br>ご了承ください。"""
text02#4,"""また、アドバイスが必要になりましたら<br>お気軽に声をおかけください。"""
text00#6,"""共通シップについて、だな。<br>まずはこれを見てくれ。"""
text01#6,"""共通シップには、君が所属する<br>シップ以外の人も滞在している。<br>よければ交流してみるといい。"""
text00#7,"""『エンブレム争奪戦のルール』について"""
text0001#0,"""<c ffff00>エンブレム争奪戦は合計１２人のプレイヤーが<br>２グループ（ユニオン）に分かれて<br>勝敗を競う対戦ルール<c>です。<br><br>所属したユニオンの勝敗結果や<br>個人の活躍に応じて<br>ショップエリア２Ｆ交換ショップにて<br>各種アイテムと交換できる<br>『バトルコイン』を入手できます。<br><br><c ff4f3f>※キャラクターのクラス、レベル<br>\u3000\u3000所持品などは一時的に制限されます。<c>"""
text0002#0,"""エンブレム争奪戦の勝敗は限られた時間内に<br><c ffff00>より多くのポイントを集めた<br>ユニオンの勝利となります。<c><br><br>ポイントは以下の手段で手に入れます。<br><c ffff00>\u3000・マップ上のエンブレムを拾う<br>\u3000・敵ユニオンのプレイヤーを撃破する<c><br><br>特にプレイヤーを撃破した際は<br><c ffff00>撃破したプレイヤーが所有していた<br>ポイントの一部を奪って、手に入れるため<c><br>頭上にアイコンが表示された<br>高ポイントのプレイヤーを倒すことが<br>勝利の決め手になります。"""
text00#8,"""『エンブレム』について"""
text0001#1,"""マップに置かれたエンブレムを拾うことで<br>所属ユニオンのポイントが上がり<br>時間内により多くのポイントを集めた<br>ユニオンが勝利します。<br><br><c ffff00>エンブレムに近づくことで自動で手に入り<br>一定時間の経過で、再び出現します。<c>"""
text0002#1,"""<c ffff00>エンブレムには複数の種類（色）があり<br>拾った種類に応じて<br>手に入るポイントが異なります。<c><br><br>\u3000所属ユニオン色\u3000１Ｐｔ<br>\u3000敵対ユニオン色\u3000５Ｐｔ<br>\u3000虹色\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000１０Ｐｔ<br><br>虹色のエンブレムが出現する場所を制圧し<br>敵ユニオンのプレイヤーを近寄らせないことで<br>戦いを有利に進めることができます。"""
text0003#0,"""また片方のユニオンが負けている時<br>まれに<c ffff00>エンブレムフィーバー<c>が発生します。<br><br>エンブレムフィーバー中は<br><c ffff00>劣勢なユニオンにとって有利なように<br>虹色のエンブレムが大量に設置<c>されます。<br><br>大逆転を狙えるチャンスですが<br>敵ユニオンも大挙して攻めてくるため<br>より連携したチームプレイが要求されます。"""
text00#9,"""『武器の入手』について"""
text0001#2,"""マップ内に設置されたピックアップスポットに<br>アクセスすることで<br><c ffff00>１つの武器と１つのPA（またはテクニック）が<br>ランダムで装備されます。<c><br><br>※一度アクセスしたピックアップスポットは<br>\u3000\u3000一定時間、全プレイヤーが<br>\u3000\u3000使用できなくなります。<br>※バトル開始時や戦闘不能からの復活時は<br>\u3000\u3000武器を装備していない素手の状態です。"""
text0002#2,"""また<c ffff00>アップデートが発生すると<br>ピックアップスポットで手に入る武器が<br>より強化されたものになります。<c><br><br>アップデートは発生するたびに<br>より強力な武器を手に入れることができます。"""
text0003#1,"""<c ffff00>またピックアップスポットにアクセスすると<br>現在の装備から、新しく入手した装備へと<br>上書きされます。<c><br><br>ピックアップスポットで<br>ランダムで手に入った武器の長所を活かしつつ<br>戦況に応じて、戦い方を変えていくのが<br>上手いプレイになります。"""
text00#10,"""『バトルエリア』について"""
text0001#3,"""エンブレム争奪戦では<br>VRアリーナと呼ばれる特殊なVR空間で<br>戦闘訓練をおこないます。"""
text0002#3,"""【VRアリーナ（森林）】<br><br>惑星ナベリウスの森林エリアを模したマップで<br>シンプルな地形構造と<br>マップ中央での激しい戦闘が特色です。<br><br>両ユニオンの攻め方や戦略を把握しやすいため<br>バトルアリーナの立ち回りを覚えるのに<br>最適なマップです。"""
text0003#2,"""【VRアリーナ（火山）】<br><br>惑星アムドゥスキアの火山を模したマップで<br>せりあがってくるマグマと<br>だんだん狭くなっていく地形構造が特色です。<br><br>マグマは接触するだけでダウンしてしまうほど<br>非常に高温なため、厳重な警戒が必要です。<br><br>時間経過とともに安全な足場が失われるため<br>状況に応じた武器の立ち回りや<br>戦略の立て方が要求されるマップです。"""
