name010#0,"""ラン"""
name020#0,"""ガロア"""
name030#0,"""アイナ"""
name040#0,"""クロフォード"""
text010#0,"""以上で、戦技祭の行程は全て終了です。<br>みなさん、お疲れ様でした！"""
text020#0,"""……あれ？\u3000データの中に、何かメッセージがありますね。"""
text030#0,"""よう。これを見てるのが誰かは知らんが、<br>おそらくお前さんもアークスなんだろう。"""
text040#0,"""このエアリオタウンのデータは、俺たちが訓練に使っていたもんだ。<br>好きに使ってくれて構わんさ。"""
text050#0,"""まあ願わくば、お前さんたちが強くなるため使ってやってくれ。<br>守りたいものをちゃんと守れるように、な。"""
text060#0,"""それじゃあな。お互いに、頑張ろうぜ！"""
text070#0,"""……お父さん、こんなのを残しておいてくれたんだね。"""
text080#0,"""ありがとう、ガロアさん。<br>この場所と、あなたたちの想いは、僕たちが受け取ったよ。"""
text090#0,"""さあ、戦技祭に参加してくれたみんな。改めてお疲れ様！<br>今日共に戦った仲間たちと、これからも前に進んでいこう。"""
text100#0,"""みんな、これからもよろしく頼むよ！"""
