11_voice_NPC_5242_101#0,"""ああ、マイフレンド！<br>ベストタイミングだよ！"""
favs_before_020#0,"""マイフレンドへの贈り物があるんだ！<br>是非、受け取ってくれたまえ！"""
favs_after_010#0,"""いやいやお礼など不要さ！<br>お礼を言いたいのは<br>こちらのほうだからね！"""
favs_after_020#0,"""それじゃあね、マイフレンド！<br>良きサモナーライフを、共に！"""
egg_present_010#0,"""よく来てくれたね！\u3000ありがとう！<br>君のサモナーライフは、今ここから<br>始まると言っても過言ではないよ！"""
egg_present_020#0,"""サモナーライフを始めるにあたって<br>僕からプレゼントを贈るよ！<br>受け取ってくれるかな！"""
egg_present_030#0,"""そのエッグから、君の愛すべき子が<br>生まれてくるんだ！\u3000その後は簡単<br>ありったけの愛を注ぎ込むだけさ！\u3000"""
egg_present_040#0,"""それでは、君もサモナーライフを<br>楽しんでくれることを、祈ってるよ。<br>ああ、なんて可愛いんだ、僕の子達……"""
skit_item_present_5242_000#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
skit_item_present_5242_000_01#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
skit_item_present_5242_010#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
skit_item_present_5242_020#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
skit_item_present_5242_030#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
skit_item_present_5242_040#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
skit_item_present_5242_050#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
skit_item_present_5242_060#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
skit_item_present_5242_070#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
skit_item_present_5242_080#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
skit_item_present_5242_090#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
skit_item_present_5242_100#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
favs_present_add_001#0,"""ピエトロから『<%skit_text>』を受け取りました。"""
11_voice_NPC_5242_100#0,"""おや、僕が何を言うまでもなく<br>サモナーになってくれているんだね！<br>ありがとう！"""
skit01_02#0,"""それじゃあ、改めてサモナーについて<br>説明をさせてもらえるかな！"""
11_voice_NPC_5242_100#1,"""来てくれてありがとう！<br>君はサモナーという新しいクラスを<br>知ってるかな？"""
skit02_02#0,"""いやいや、今はまだ知らなくてもいい。<br>君にサモナーの素晴らしさを説明する。<br>そのために僕は君を呼んだんだからね。"""
skit02_03#0,"""それじゃあ、サモナーについて<br>詳しく説明させてもらえるかな！"""
skit03_01#0,"""次に、君と<br>苦楽を共にする愛おしき相棒<br>「ペット」について、説明するよ！"""
11_voice_NPC_5242_101#1,"""これで、サモナーの<br>基礎的な説明は全て終わりだよ。"""
skit04_02#0,"""そんな君の門出を祝って<br>僕からプレゼントを贈るよ！<br>受け取ってくれ！"""
skit04_03#0,"""そのエッグから、君の愛すべき子が<br>生まれてくるんだ！\u3000その後は簡単！<br>ありったけの愛を注ぎ込むだけさ！"""
skit04_04#0,"""それでは、よきサモナーライフを！<br>困ったらいつでも相談に来てくれて<br>構わないからね！"""
Title#0,"""『サモナー』について"""
text01#0,"""サモナーは「ペット」を使役し<br>「タクト」によって指示を出すことで<br>戦闘を行うクラスです。<br><br>テクニックが使用でき、戦闘の補助を<br>行うことも可能です。<br><br>遠距離から攻撃できるため<br>比較的、低リスクで戦闘に参加できます。"""
Title#1,"""『ペット』について"""
text01#1,"""ペットはエッグ合成やキャンディーによって<br>能力やPAを強化することができます。<br><br>複数のペットをあらかじめ登録しておき<br>切り替えながら呼び出すことで<br>より効果的に戦闘を進めることができます。"""
text02#0,"""・ペットの登録<br>「エッグ」はアイテムとして<yellow>「使う」<c><br>ことでペットを新規に登録できます。<br><br>・武器パレットへのセット<br>ペットを戦闘で呼び出せるようにするには、<br>装備メニューで武器「タクト」を装備し、<br>「通常攻撃/PA/テクニック」欄の左から順に<br>\u3000<yellow>・好きなペット（ペット一覧から選択可能）<c><br>\u3000・そのペット用のＰＡ（技）<br><br>をセットしておきます。<br>ペット装備時にマグは姿を隠していますが、<br>効果は全て通常通りに受けることができます。"""
11_voice_NPC_5242_100#2,"""あぁ……なんて美しいんだ<br>僕の愛しい子供達……<br>君達以外、僕には何も見えないよ……"""
st01_020#0,"""過剰なスキンシップもまた、愛らしい。<br>僕に刻まれた生傷は、愛情の証なのさ。"""
11_voice_NPC_5242_100#3,"""子供達を抱く幸せ……<br>それがサモナーというクラスだよ！"""
st01_020#1,"""愛しい子供達と一緒に戦える喜び<br>ぜひ、体験してみて欲しいんだ！"""
11_voice_NPC_5242_100#4,"""子供達にはそれぞれ、ちゃーんと<br>特徴があるんだよ。<br>打撃向きや、法撃向きなど様々さ。"""
st01_020#2,"""どの子が一番……なんてことはない！<br>皆、等しく美しくて、愛しいんだよ。"""
11_voice_NPC_5242_100#5,"""サモナーのタクトを武器と思ってる<br>無粋なアークスもいるようだけど<br>それは違うんだよ。"""
st01_020#3,"""タクトというのは<br>子供達とサモナーを結ぶ手段の一つで<br>連絡を取るためのものなんだ。"""
st01_030#0,"""戦闘中でも濃密なコミュニケーションを<br>取れるように設計されてるんだよ。"""
11_voice_NPC_5242_100#6,"""僕の子供達は僕のことを<br>愛してやまないのさ！"""
st01_020#4,"""どんな行動をとっても<br>僕は全力で受け止めてるからね！"""
st01_010#0,"""子供達は道具ではない。<br>思ってもいなかった行動を<br>とってしまうこともある。"""
st01_020#5,"""だけど、予想を越えたことを<br>してくれることだって、あるんだ。"""
st01_030#1,"""僕の知らない、僕の子供達の姿。<br>それが見られる喜びは<br>何ものにも代えがたいものさ。"""
11_voice_NPC_5242_102#0,"""具現武装というのは、地球人にとっての<br>子供達みたいなものだろう！<br>それを折るなんてとんでもない！"""
st01_020#6,"""とってもとってもとーっても<br>痛くて苦しいはずだよ！<br>本人も、その子供達もね！"""
11_voice_NPC_5242_100#7,"""痛みや辛さ、苦しさを越えた先に<br>新たな力、新たな輝きがある！<br>具現武装も、同じなんだね！"""
st01_020#7,"""もちろん、サモナーも同じだよ！<br>だから僕は、愛する子供達の<br>痛みや辛さを受け止めているのさ！"""
11_voice_NPC_5242_108#0,"""アースガイドの指導者……<br>彼は悲しい存在だね。<br>自分の友を、信じられなかったんだ。"""
st01_020#8,"""無償の愛と、それを見守り続ける<br>勇気さえあれば、大概のことは<br>なんとかなるというのに……"""
st01_030#2,"""そう、僕の愛する子供達と<br>僕自身のように！<br>わかるよね、マイフレンド！"""
11_voice_NPC_5242_100#8,"""マイフレンド！\u3000君にはずーっと<br>お世話になってきたからね！<br>僕と僕の子達も精一杯協力するよ！"""
11_voice_NPC_5242_101#2,"""あぁ、マイフレンド！\u3000おかえり！<br>僕の子達も喜んでいるよ！"""
sq01_020#0,"""というかマイフレンドがいないときは<br>彼らも寂しかったのか愛情表現が<br>苛烈でね！\u3000ほんと、無事でよかった！"""
sq02_010#0,"""やぁ、マイフレンド！<br>皆とは違い、なんだか忙しそうだね！"""
11_voice_NPC_5242_100#9,"""僕の子達も君のことを心配しているよ！<br>何をしているかは秘密だろうけど<br>あまり無理はしないように！"""
