Q0#0,"""こんにちはっ！"""
HELLO#0,"""こんにちはっ！"""
HELLO_FAV4#0,"""待ってたよ！"""
HELLO_FAV3#0,"""来た来た！"""
HELLO_FAV2#0,"""こんにちはっ！"""
HELLO_FAV1#0,"""どうも"""
HELLO_FAV0#0,"""あ……"""
GOODBYE#0,"""あっ、それでね！<br>３周年記念交換ショップ開いてるの！<br>お菓子もあるから寄ってね！"""
GOODBYE_FAV4#0,"""あっ、それでね！<br>３周年記念交換ショップ開いてるの！<br>お菓子もあるから寄ってね！"""
GOODBYE_FAV3#0,"""あっ、それでね！<br>３周年記念交換ショップ開いてるの！<br>お菓子もあるから寄ってね！"""
GOODBYE_FAV2#0,"""あっ、それでね！<br>３周年記念交換ショップ開いてるの！<br>お菓子もあるから寄ってね！"""
GOODBYE_FAV1#0,"""あっ、それでね！<br>３周年記念交換ショップ開いてるの！<br>お菓子もあるから寄ってね！"""
GOODBYE_FAV0#0,"""あっ、それでね！<br>３周年記念交換ショップ開いてるの！<br>お菓子もあるから寄ってね！"""
00_01#0,"""選択肢その１"""
00_02#0,"""選択肢その２"""
TALK_ST#0,"""会話する"""
C_ORDER_ST#0,"""相談を聞く"""
