ar_or010400#0,"""No.1<br>前往「武器商店&光碟商店」"""
ar_or010401#0,"""No.2<br>前往「道具實驗室&鑑定商店」"""
ar_or010402#0,"""No.3<br>前往「服裝商店&配件商店」"""
ar_or010403#0,"""No.4<br>前往「道具商店」"""
ar_or010404#0,"""No.5<br>前往「美容商店」"""
ar_or010400#1,"""No.1<br>「武器ショップ＆ディスクショップ」に行く"""
ar_or010401#1,"""No.2<br>「アイテムラボ＆鑑定ショップ」に行く"""
ar_or010402#1,"""No.3<br>「コスチュームショップ＆ユニットショップ」に行く"""
ar_or010403#1,"""No.4<br>「アイテムショップ」に行く"""
ar_or010404#1,"""No.5<br>「エステ」に行く"""
ar_or010400#2,"""前往武器商店&光碟商店"""
ar_or010401#2,"""前往道具實驗室&鑑定商店"""
ar_or010402#2,"""前往服裝店&配件商店"""
ar_or010403#2,"""前往道具商店"""
ar_or010404#2,"""前往美容商店"""
ar_or010400#3,"""武器ショップ＆ディスクショップに行く"""
ar_or010401#3,"""アイテムラボ＆鑑定ショップに行く"""
ar_or010402#3,"""コスチュームショップ＆ユニットショップに行く"""
ar_or010403#3,"""アイテムショップに行く"""
ar_or010404#3,"""エステに行く"""
