name01#0,"""雅庫熊"""
text01#0,"""<%me>大人。<br>不好意思，突然連絡您。"""
text02#0,"""初次見面。<br>我的名字是「雅庫熊」"""
text03#0,"""負責管理ARKS戰艦對抗戰的<br>類人型介面。"""
text04#0,"""今後還請多多指教。"""
text05#0,"""很快的，全艦一起參加的<br>「ARKS戰艦對抗戰」<br>預計近期就會開放。"""
text06#0,"""「ARKS戰艦對抗戰」是<br>由全部玩家一同參賽，<br>藉由點數和得分角逐勝敗的戰鬥。"""
text07#0,"""詳細的說明會由在商店區的我進行。"""
text08#0,"""我會在紀念碑廣場前<br>等待你的到來。<br>我很可愛，所以應該能很快找到我吧。"""
text09#0,"""那麼，等等見吧。"""
text10#0,"""關於『雅庫熊的所在位置』"""
text11#0,"""雅庫熊在商店區．紀念碑廣場。<br><br>前往商店街吧。"""
name01#1,"""アークマ"""
text01#1,"""<%me>殿。<br>突然の連絡、失礼する。"""
text02#1,"""お初にお目にかかる。<br>私の名前は「アークマ」"""
text03#1,"""アークスシップ対抗戦の管理管轄を行う<br>ヒューマノイドインターフェイスだ。"""
text04#1,"""以後、よろしく頼む。"""
text05#1,"""さて、早速だが、全艦を挙げての<br>「アークスシップ対抗戦」を<br>現在開催している。"""
text06#1,"""「アークスシップ対抗戦」とは<br>全プレイヤー参加型による、ポイントと<br>勝ち点により勝敗を競うバトルである。"""
text07#1,"""詳しい説明はショップエリアにいる<br>私の所で行う。"""
text08#1,"""私はモニュメント広場前で<br>貴君が訪れるのを待つ。<br>キュートな私だ、すぐ見つかるだろう。"""
text09#1,"""それでは、また後程。"""
text10#1,"""『アークマのいる場所』について"""
text11#1,"""アークマはショップエリア・モニュメント広場にいます。<br><br>ショップエリアへ向かいましょう。"""
