ra_013010_0010#0,"""......我等你很久了。<br>一切盡在不言中。"""
ra_013010_0020#0,"""你所追求的答案<br>就是此時此刻發生的<br>這些事件的真相對吧？"""
ra_013010_0030#0,"""......不過，很抱歉。<br>就連我們都<br>尚未掌握所有的細節。"""
ra_013010_0040#0,"""不過，有件事是可以確定的。<br>現在正在發生的優勢改變狀況<br>並不會對你造成不利。"""
ra_013010_0050#0,"""但正因為如此，所以我們找不出原因。<br>沒有目的的行為是無法推測出原因的。"""
ra_013010_0060#0,"""我們無法得知<br>你們並沒有採取行動。"""
ra_013010_0070#0,"""由此推測而出的答案<br>並非在於你，而是<br>在於你們的存在本身。"""
ra_013010_0080#0,"""......很抱歉。我換個說法吧。"""
ra_013010_0090#0,"""這世上有著跟我們行為相同<br>但真實身份不明的存在。"""
ra_013010_0100#0,"""就我們所知道的範圍<br>這就是極限了。我能說的只有這些而已。"""
ra_013010_0110#0,"""就我們所能確認的範圍而言<br>這起事件的危險性並不高。<br>有機會的話，不妨加以利用。"""
ra_013010_0120#0,"""至於原因，我們會繼續調查，不過......<br>這不僅是我們未知的事件，<br>還有一種不可思議的感覺。"""
ra_013010_0010#1,"""……待っていた。<br>すべてを言わずとも理解している。"""
ra_013010_0020#1,"""貴方が求めるのは<br>今この時にて起きている<br>事象への回答だろう？"""
ra_013010_0030#1,"""……だが、すまない。<br>わたしとわたしたちにも<br>仔細はつかめていない。"""
ra_013010_0040#1,"""ただ、わかっていることもある。<br>今起こっている、この優位改変状況は<br>貴方への不利益にはならない。"""
ra_013010_0050#1,"""しかしそれ故に、原因がつかめない。<br>目的なき行いの由が導き出せない。"""
ra_013010_0060#1,"""わたしとわたしたちは知り得ず<br>貴方達は動いていない。"""
ra_013010_0070#1,"""そこから導き出される答えは<br>貴方ではない貴方達が<br>存在しているということ。"""
ra_013010_0080#1,"""……すまない。言い換えよう。"""
ra_013010_0090#1,"""わたしたちと同じことを行う<br>なにがしかの存在がある。"""
ra_013010_0100#1,"""わたしとわたしたちに解るのは<br>そこまでだ。それだけのことだ。"""
ra_013010_0110#1,"""わたしとわたしたちが確認できる範囲に<br>おいて、この事象の危険性は薄い。<br>利用できるのなら、利用してもいい。"""
ra_013010_0120#1,"""原因については続けて調べるが……<br>これが、わからないということか。<br>不思議な、感覚だ。"""
