name01#0,"""ヒルダ"""
cu_090010_0030#0,"""よろしい、問題ないようだな。"""
cu_090010_0040#0,"""次は、移動方法を確認する。<br>指定の位置まで移動しろ。"""
cu_090010_0030#1,"""よろしい、問題ないようだな。"""
cu_090010_0040#1,"""次は、移動方法を確認する。<br>指定の位置まで移動しろ。"""
text101#0,"""<%LStick>を操作して、目標地点まで移動しろ！"""
text1000#0,"""<%MoveForward><%MoveBack><%MoveLeft><%MoveRight>移動"""
text1001#0,"""<%LStick>で移動しろ！"""
text201#0,"""目標地点まで移動しろ！"""
text202#0,"""目標地点まで移動しろ！"""
text203#0,"""前移動：<%MoveForward><br>後移動：<%MoveBack><br>左移動：<%MoveLeft><br>右移動：<%MoveRight>"""
text204#0,"""キャラクターの移動：<%LStick>"""
text205#0,"""移動"""
