un_020480_0010#0,"""อ๊ะ <%me><br>ยินดีต้อนรับกลับจ้ะ"""
un_020480_0020#0,"""คิกคิก ชั้นนะ พักนี้สภาพร่างกาย<br>ดีมากเลยล่ะ จะเรียกว่ารู้สึกเบาได้<br>หรือเปล่านะ"""
un_020480_0030#0,"""อาการปวดหัวก็หายแล้ว ถ้าเป็นตอนนี้<br>ชั้นรู้สึกว่าชั้นสามารถทำได้ทุกอย่างเลยล่ะ"""
un_020480_0040#0,"""......ก็ว่าไปนั่น<br>ถ้าได้ใจมากเกินไป เดี๋ยวคุณ Fillia<br>จะต้องโกรธแบบคราวก่อนแน่ๆ เลย"""
un_020480_0050#0,"""เค้าบอกว่าเพราะมีคนที่บาดเจ็บล้มป่วยอยู่<br>จึงต้องมีพวกเราหน่วยพยาบาลค่ะ น่ะ"""
un_020480_0060#0,"""แต่ที่บอกว่าสภาพร่างกายดีน่ะมันก็เป็น<br>เรื่องจริงนะ ถ้าถามว่าแค่ไหนก็ประมาณว่า<br>รู้สึกถึงการไหลของ Photon เลยล่ะ"""
un_020480_0070#0,"""ชั้นเองก็ไม่ค่อยจะเข้าใจหรอกนะ<br>แต่ชั้นคิดว่าร่าเริงไว้มันน่าจะดีกว่า<br>แบบไม่ร่าเริงแน่นอน"""
un_020480_0010#1,"""あ、<%me>。<br>おかえりなさい。"""
un_020480_0020#1,"""ふふっ、わたしね、最近身体の<br>調子が良いんだ。<br>身体が軽い、っていうのかな。"""
un_020480_0030#1,"""頭痛もすっきり治まったし<br>今ならなんでもできそうな気がする。"""
un_020480_0040#1,"""……なんてね。<br>調子に乗ってたら、この前<br>フィリアさんに怒られちゃった。"""
un_020480_0050#1,"""そう言って倒れる人がいるから<br>私たち看護官がいるんです、って。"""
un_020480_0060#1,"""でも、調子がいいのは本当だよ。<br>どのくらいかって<br>フォトンの流れを感じちゃうぐらい。"""
un_020480_0070#1,"""なんでかは、ちょっとわからないけど<br>元気がないより、元気な方が<br>いいはずだよね、きっと。"""
