TALK_OTHER_FAV4#0,"""與其他人的對話<br>純真無瑕<br>好感度4"""
TALK_OTHER_FAV3#0,"""與其他人的對話<br>純真無瑕<br>好感度3"""
TALK_OTHER_FAV2#0,"""與其他人的對話<br>純真無瑕<br>好感度2"""
TALK_OTHER_FAV1#0,"""與其他人的對話<br>純真無瑕<br>好感度1"""
TALK_OTHER_FAV0#0,"""與其他人的對話<br>純真無瑕<br>好感度0"""
TALK_OTHER_FAV4#1,"""他者との会話<br>無垢<br>好感度４"""
TALK_OTHER_FAV3#1,"""他者との会話<br>無垢<br>好感度３"""
TALK_OTHER_FAV2#1,"""他者との会話<br>無垢<br>好感度２"""
TALK_OTHER_FAV1#1,"""他者との会話<br>無垢<br>好感度１"""
TALK_OTHER_FAV0#1,"""他者との会話<br>無垢<br>好感度０"""
TALK_OTHER_FAV4#2,"""與其他人的對話<br>爽朗帶有邪惡<br>好感度4"""
TALK_OTHER_FAV3#2,"""與其他人的對話<br>爽朗帶有邪惡<br>好感度3"""
TALK_OTHER_FAV2#2,"""與其他人的對話<br>爽朗帶有邪惡<br>好感度2"""
TALK_OTHER_FAV1#2,"""與其他人的對話<br>爽朗帶有邪惡<br>好感度1"""
TALK_OTHER_FAV0#2,"""與其他人的對話<br>爽朗帶有邪惡<br>好感度0"""
TALK_OTHER_FAV4#3,"""他者との会話<br>爽やか腹黒<br>好感度４"""
TALK_OTHER_FAV3#3,"""他者との会話<br>爽やか腹黒<br>好感度３"""
TALK_OTHER_FAV2#3,"""他者との会話<br>爽やか腹黒<br>好感度２"""
TALK_OTHER_FAV1#3,"""他者との会話<br>爽やか腹黒<br>好感度１"""
TALK_OTHER_FAV0#3,"""他者との会話<br>爽やか腹黒<br>好感度０"""
TALK_OTHER_FAV4#4,"""與其他人的對話<br>軟弱的娘娘腔<br>好感度4"""
TALK_OTHER_FAV3#4,"""與其他人的對話<br>軟弱的娘娘腔<br>好感度3"""
TALK_OTHER_FAV2#4,"""與其他人的對話<br>軟弱的娘娘腔<br>好感度2"""
TALK_OTHER_FAV1#4,"""與其他人的對話<br>軟弱的娘娘腔<br>好感度1"""
TALK_OTHER_FAV0#4,"""與其他人的對話<br>軟弱的娘娘腔<br>好感度0"""
TALK_OTHER_FAV4#5,"""他者との会話<br>気弱男の娘<br>好感度４"""
TALK_OTHER_FAV3#5,"""他者との会話<br>気弱男の娘<br>好感度３"""
TALK_OTHER_FAV2#5,"""他者との会話<br>気弱男の娘<br>好感度２"""
TALK_OTHER_FAV1#5,"""他者との会話<br>気弱男の娘<br>好感度１"""
TALK_OTHER_FAV0#5,"""他者との会話<br>気弱男の娘<br>好感度０"""
TALK_OTHER_FAV4#6,"""與其他人的對話<br>自以為酷、裝模作樣<br>好感度4"""
TALK_OTHER_FAV3#6,"""與其他人的對話<br>自以為酷、裝模作樣<br>好感度3"""
TALK_OTHER_FAV2#6,"""與其他人的對話<br>自以為酷、裝模作樣<br>好感度2"""
TALK_OTHER_FAV1#6,"""與其他人的對話<br>自以為酷、裝模作樣<br>好感度1"""
TALK_OTHER_FAV0#6,"""與其他人的對話<br>自以為酷、裝模作樣<br>好感度0"""
TALK_OTHER_FAV4#7,"""他者との会話<br>俺様クール・気障<br>好感度４"""
TALK_OTHER_FAV3#7,"""他者との会話<br>俺様クール・気障<br>好感度３"""
TALK_OTHER_FAV2#7,"""他者との会話<br>俺様クール・気障<br>好感度２"""
TALK_OTHER_FAV1#7,"""他者との会話<br>俺様クール・気障<br>好感度１"""
TALK_OTHER_FAV0#7,"""他者との会話<br>俺様クール・気障<br>好感度０"""
TALK_OTHER_FAV4#8,"""與其他人的對話<br>頑皮、精神抖擻<br>好感度4"""
TALK_OTHER_FAV3#8,"""與其他人的對話<br>頑皮、精神抖擻<br>好感度3"""
TALK_OTHER_FAV2#8,"""與其他人的對話<br>頑皮、精神抖擻<br>好感度2"""
TALK_OTHER_FAV1#8,"""與其他人的對話<br>頑皮、精神抖擻<br>好感度1"""
TALK_OTHER_FAV0#8,"""與其他人的對話<br>頑皮、精神抖擻<br>好感度0"""
TALK_OTHER_FAV4#9,"""他者との会話<br>腕白・元気<br>好感度４"""
TALK_OTHER_FAV3#9,"""他者との会話<br>腕白・元気<br>好感度３"""
TALK_OTHER_FAV2#9,"""他者との会話<br>腕白・元気<br>好感度２"""
TALK_OTHER_FAV1#9,"""他者との会話<br>腕白・元気<br>好感度１"""
TALK_OTHER_FAV0#9,"""他者との会話<br>腕白・元気<br>好感度０"""
TALK_OTHER_FAV4#10,"""與其他人的對話<br>沉穩<br>好感度4"""
TALK_OTHER_FAV3#10,"""與其他人的對話<br>沉穩<br>好感度3"""
TALK_OTHER_FAV2#10,"""與其他人的對話<br>沉穩<br>好感度2"""
TALK_OTHER_FAV1#10,"""與其他人的對話<br>沉穩<br>好感度1"""
TALK_OTHER_FAV0#10,"""與其他人的對話<br>沉穩<br>好感度0"""
TALK_OTHER_FAV4#11,"""他者との会話<br>おっとり<br>好感度４"""
TALK_OTHER_FAV3#11,"""他者との会話<br>おっとり<br>好感度３"""
TALK_OTHER_FAV2#11,"""他者との会話<br>おっとり<br>好感度２"""
TALK_OTHER_FAV1#11,"""他者との会話<br>おっとり<br>好感度１"""
TALK_OTHER_FAV0#11,"""他者との会話<br>おっとり<br>好感度０"""
TALK_OTHER_FAV4#12,"""與其他人的對話<br>呆瓜<br>好感度4"""
TALK_OTHER_FAV3#12,"""與其他人的對話<br>呆瓜<br>好感度3"""
TALK_OTHER_FAV2#12,"""與其他人的對話<br>呆瓜<br>好感度2"""
