un_065070_0020#0,"""管理管制<br>独立運用コード……解除、っと！"""
un_065070_0030#0,"""んんー！\u3000終わったー！<br>これでやっと、いち段落です。"""
un_065070_0040#0,"""シャオも戻ってきましたし<br>私の肩の荷も降りましたよー。"""
un_065070_0050#0,"""【深遠なる闇】の脅威は去りましたし<br><%me>さんも<br>無事に帰って来れて、万事解決ですね！"""
un_065070_0060#0,"""【深遠なる闇】もダークファルスも<br>消え去った現状、これ以上は<br>ダーカーが生まれる心配はありません。"""
un_065070_0070#0,"""とはいえ、ダーカーの残党や<br>侵食されて凶暴化した生物や兵器は<br>依然として存在しています。"""
un_065070_0080#0,"""ですから、アークスとしての活動は<br>これからも続きます。"""
un_065070_0090#0,"""でも、いつかこの宇宙から<br>全てのダーカーを<br>消し去ることができるはずです！"""
un_065070_0100#0,"""それまでは、この不肖シエラ！<br><%me>さんのことを<br>しっかりナビゲートしますね！"""
un_065070_0110#0,"""貴方に会ったばかりの時は<br>ひよっ子だった私ですが……<br>今はどうです？\u3000どうです？"""
un_065070_0120#0,"""頼もしくなったね"""
un_065070_0130#0,"""まだまだだね"""
un_065070_0140#0,"""ホントですか！？<br>やったぁ、<%me>さんに<br>褒められちゃいました！"""
un_065070_0150#0,"""私、褒められると伸びる子です！<br>もっともっと、頑張って……<br>たくさん褒めてもらおうと思います！"""
un_065070_0160#0,"""たはー、さすが厳しい！<br>でも、まだまだ学ぶことは多くて……<br>ちょっとワクワクもするんです。"""
un_065070_0170#0,"""だから、<%me>さん！<br>これからも、この不肖シエラを<br>よろしくお願いしますね！"""
