name_7211#0,"""シャンディー"""
ssn_019002_0001#0,"""来てくれて、ありがとうございます。<br>あらためて、自己紹介を。"""
ssn_019002_0002#0,"""私は、シャンディー。ハルファで発生する<br>さまざまな特異現象を研究しています。"""
ssn_019002_0003#0,"""あなたを呼んだのは、今起きている<br>現象の調査を手伝ってもらいたいと思ってまして。"""
ssn_019002_0101#0,"""ありがとうございます。<br>ペダス・ヴェラの戦闘データもしっかりと取れていました。"""
ssn_019002_0102#0,"""ここからは、私たちの頑張りどころですね。<br>頂いたデータを活用して、エネミーの調査を進めます。"""
ssn_019002_0103#0,"""どんなに小さな情報でも、コツコツ集めて解析すれば、<br>これからの戦いの役に立つはずなんです。"""
ssn_019002_0104#0,"""ひとりでも多くのアークスが、<br>戦いから無事に帰って来られるように……。"""
ssn_019002_0105#0,"""報酬は、お渡ししているポイントと交換しますので、<br>必要なものがあったら、教えてください。"""
ssn_019002_0106#0,"""これからも定期的に、シンボル付きのエネミーとの<br>交戦記録を送ってもらえると嬉しいです。"""
ssn_019002_0107#0,"""よろしくお願いしますね。"""
npc_menu_0001#0,"""イベントのタスクを受注"""
npc_menu_0002#0,"""シーズナルポイントでアイテムを交換"""
npc_menu_0003#0,"""メニューを閉じる"""
