linewindow#0,"""Strafe"""
text00#0,"""Strafe"""
text01#0,"""Strafe เป็นการทำให้ท่านสามารถโจมตีระยะไกลได้ขณะเคลื่อนที่"""
text02#0,"""ใช้การควบคุมดังต่อไปนี้เพื่อเคลื่อนที่:<br>ไปข้างหน้า: <%MoveForward>   ไปข้างหลัง: <%MoveBack><br>ไปทางซ้าย: <%MoveLeft>   ไปทางขวา: <%MoveRight><br><br>ขณะเคลื่อนที่ ให้กดคำสั่งตามอย่างใดอย่างหนึ่ง:<br>การโจมตีพื้นฐาน: <%NormalAttack>   Photon Move: <%PhotonArts>"""
text03#0,"""ขณะใช้จอยซ้ายในการเคลื่อนที่ ให้กดคำสั่งใดคำสั่งหนึ่งดังต่อไปนี้:<br>การโจมตีพื้นฐาน: <%NormalAttack>   Photon Move: <%PhotonArts>"""
text04#0,"""ขณะที่ Strafe ทำให้ท่านเคลื่อนที่อย่างปลอดภัย <br>มันทำให้ท่านยิงพลาดบ่อยขึ้นเป็นบางครั้ง<br>ยืนอยู่กับที่แล้วยิงหากท่านต้องการความแม่นยำมากขึ้น<br>ใช้ Strafe เพื่อเคลื่อนไหวขณะกำจัดศัตรู"""
text101#0,"""เรียบร้อยดีใช่ไหม?<br>ตอนนี้ท่านได้เรียนรู้พื้นฐานทั้งหมดของปืนแล้ว"""
text102#0,"""แต่นั่นก็เป็นสิ่งที่ทำให้ ARKS หลายคนที่เริ่มหลงตัวเอง<br>ข้าอยากให้ท่านเรียกทักษะการต่อสู้ให้พร้อมมากกว่านี้<br>แทนที่จะออกไปทำอะไรตามใจ"""
text103#0,"""มันอาจจะดูเหมือนมีเรื่องที่ต้องทำอีกมาก<br>แต่เชื่อข้าเถอะ ท่านจะต้องขอบคุณข้าในภายหลังแน่<br>ไว้เจอกันใหม่ในการอบรมครั้งหน้า"""
linewindow#1,"""<br>『ムービングショット』について<br>"""
text00#1,"""『ムービングショット』について"""
text01#1,"""『ムービングショット』について説明します。<br><br>ムービングショットとは、<br>移動しながら射撃攻撃を行うことです。"""
text02#1,"""以下の操作で移動しながら、<br>前：<%MoveForward>\u3000後：<%MoveBack><br>左：<%MoveLeft>\u3000右：<%MoveRight><br><br>通常攻撃：<%NormalAttack>\u3000又はフォトンアーツ：<%PhotonArts>\u3000を入力します。"""
text03#1,"""左スティックで移動しながら、<br>通常攻撃：<%NormalAttack>\u3000又はフォトンアーツ：<%PhotonArts>を入力します。"""
text04#1,"""ムービングショットは、安全に立ち回れる代わりに<br>発射する弾丸がバラけやすくなります。<br><br>正確な射撃を行いたい場合は、立ち止まって攻撃し<br>安全に戦う場合は、ムービングショットを選択すると<br>よいでしょう。"""
text101#1,"""ご苦労だった。<br>銃器の扱いの基礎は<br>充分に出来ていると言えるだろう。"""
text102#1,"""ただしそこが落とし穴でもある。<br>我流に走らず、正当流を身につけて<br>腕を上げていってほしい。"""
text103#1,"""君ならおいおい理解できるはずだ。<br>次の特訓でまた会おう。"""
