11_voice_NPC_5003_104#0,"""เฮ้ ข้ากล้ามั้ยล่ะ ที่ลองบางอย่างที่ไม่รู้ว่ามันคืออะไร"""
text02#0,"""แต่ มาเดิมพันกันมั้ยล่ะ! ถ้าท่านดื่มโทนิคที่ Medical Center<br>ข้าจะดื่มด้วย!"""
text03#0,"""เอาหน่อยน่า ลองหน่อย<br>มันจะอันตรายได้ยังไงเพราะมันแจกจ่าย<br>บนเรือ ARKS?"""
text04#0,"""ยังมีบางอย่างเกี่ยวกับหมอและ<br>Medical Center ที่ข้าไม่สบายใจ"""
text05#0,"""มันจะมีอะไรนักหนา? ไปลองกินกันดู!"""
11_voice_NPC_5003_104#1,"""なんかさ、一人でああいう<br>若干得体の知れないものを飲むのって<br>勇気がいるじゃんか。"""
text02#1,"""相棒が飲むっていうのなら<br>おれだって喜んで飲むぜ、うん。"""
text03#1,"""それじゃちょっと飲んでみようぜ。<br>まがりなりにもアークスシップ内で<br>提供してるんだし、大丈夫だろ。"""
text04#1,"""メディカルセンター製の<br>ドリンクってのが<br>最後まで不安をかきたてるけど……"""
text05#1,"""……ええいっ、男は度胸。<br>さ、行こうぜ行こうぜ。ぐっと一杯！"""
text00#0,"""เกี่ยวกับ MedicalCenter"""
text01#0,"""ข้อมูลเกี่ยวกับ MedicalCenter<br><br>MedicalCenter คือที่ที่ท่านสามารถมาซื้อ [เครื่องดื่มเสริมพลัง]<br>ได้ก่อนที่จะลงไปปฏิบัติภารกิจของท่าน<br><br>เครื่องดื่มเสริมพลังนั้นแบ่งออกได้เป็น 2 ประเภทใหญ่ๆ<br>หนึ่งคือเครื่องดื่มที่จะมีผลแน่นอน กับเครื่องดื่มที่อาจแสดงผลหรือไม่ก็ได้<br><br>ประสิทธิภาพของเครื่องดื่มมีผลแน่นอนที่ผู้เล่นจะได้รับนั้น<br>จะสุ่มจากหนึ่งในสามขนาดคือมีผล [น้อย] [ปานกลาง] และ [มาก]"""
text02#2,"""และหากท่านสามารถจบ ClientOrder ของ Lola ได้สำเร็จ<br>ท่านจะสามารถเลือกเครื่องดื่มชนิดอื่นๆได้มากชนิดขึ้น<br><br>หากต้องการเครื่องดื่มที่มีประสิทธิภาพสูง<br>ควรทำ ClientOrder ทุกครั้งที่มีโอกาส<br><br>Lola จะประจำอยู่ที่ MedicalCenter บน GateArea - CentralHall"""
text00#1,"""メディカルセンターについて"""
text01#1,"""メディカルセンターについて説明します。<br><br>メディカルセンターでは次回クエスト中に<br>有効な「能力強化ドリンク」を購入して<br>飲むことが出来ます。<br><br>能力強化ドリンクには、<br>必ず効果が発生する「主効果」と、<br>一定確率でランダムに効果が発生する<br>「副効果」の2種類の効果があります。<br><br>また、「主効果」にはそれぞれ<br>「大」「中」「小」の3種類の段階があり、<br>その中の1種類がランダムで発生します。"""
text02#3,"""条件を満たすとローラから<br>クライアントオーダーを受注する事が<br>出来るようになり、達成すると<br>ドリンクの種類が増えます。<br><br>効果が高い物も購入できるようになりますので、<br>積極的にクライアントオーダーを<br>受けてみましょう。<br><br>ローラはゲートエリア・中央ホールの<br>メディカルセンター前にいます。"""
