name01#0,"""Michela"""
name01#1,"""ミケーラ"""
text01#0,"""หือ? ท่านต้องการอะไร?"""
text02#0,"""ท่านคงได้ยินเกี่ยวกับมันใช่ไหม<br>ข้าหมายถึงเพลงของ Rappy ไง"""
text03#0,"""ไม่แปลกเหรอ? ฟังแล้วรู้สึกสงบ สบายใจ"""
text04#0,"""พวกมันก็เหมือนกับข้าล่ะ หวานและดูน่ารัก"""
text05#0,"""อะไรนะ? ท่านมีปัญหาเหรอ?<br>มีอะไรก็มาพูดกันต่อหน้าซิ!"""
text01#1,"""はぁ……<br>ん？\u3000なによ、無粋な通信ね。"""
text02#1,"""アンタも聞いてたでしょ、今の。<br>ラッピーの歌声よ、歌声。"""
text03#1,"""あれ、いいわね。<br>すごく心が穏やかになって<br>リラックスできたわ。"""
text04#1,"""あのかわいらしい見た目も<br>まさしくアタシと一致するし……"""
text05#1,"""……ん？\u3000何？\u3000見た目が何？<br>文句あるなら帰ってきて言いなさい。"""
