st_012020_0005#0,"""【難以理解的行動】<br>暫用文字"""
st_012020_0010#0,"""......哦，你啊。"""
st_012020_0020#0,"""......六芒均衡的卡斯拉。<br>為何前來此地。"""
st_012020_0030#0,"""庫娜小姐，看妳這話說的。<br>我和妳一樣在執行任務。<br>只是這樣而已。"""
st_012020_0040#0,"""不過，妳居然會<br>與人組隊行動，<br>天是要下紅雨了麼。"""
st_012020_0050#0,"""而且對象還會讓我<br><%me>。<br>感到有一絲宿命的感覺啊。"""
st_012020_0060#0,"""你認得他？"""
st_012020_0070#0,"""為何前來此地？"""
st_012020_0080#0,"""啊，你不用緊張。<br>因為職務關係，<br>有時需要和她見面而已。"""
st_012020_0090#0,"""不，你不要這麼<br>警戒著我啦。這不過是<br>身為ARKS的責任罷了。"""
st_012020_0100#0,"""話說，你們也是<br>為了解決那匹暴走龍<br>才到這來的吧？"""
st_012020_0110#0,"""街道中心的蘇菲亞巨蛋廣場<br>內部確認出現<br>類似的參數值。"""
st_012020_0120#0,"""啊！<br>怎麼會在那個地方......！"""
st_012020_0130#0,"""是啊，妙得很。"""
st_012020_0140#0,"""那個地方目前只用來<br>當作那位偶像的宣傳用地<br>而已呢。"""
st_012020_0150#0,"""不在黑暗種群集之處出現<br>而是突然現身在那個場所。<br>說真的，我看不出其意圖何在。"""
st_012020_0160#0,"""<%me>閣下。<br>難道......"""
st_012020_0170#0,"""......目的會是歌？"""
st_012020_0180#0,"""......快走吧。"""
st_012020_0190#0,"""......或許是吧。<br>如果對照之前<br>現身時的行動來看......"""
st_012020_0200#0,"""只要在蘇菲亞巨蛋廣場<br>播放歌曲......<br>應該能夠拖個一時三刻。"""
st_012020_0210#0,"""......播放歌曲麼？"""
st_012020_0220#0,"""嗯......還真有詩意的故事，<br>只要配合<%me><br>不過這也是一種提案......"""
st_012020_0230#0,"""......我知道了。<br>這方面的問題由我處理吧。"""
st_012020_0240#0,"""你們趕快前往現場。<br>好了，快去吧。"""
st_012020_0250#0,"""六芒均衡的卡斯拉，<br>......這份人情謝了。"""
st_012020_0260#0,"""不會不會，<br>讓妳欠我點什麼的話<br>以後比較方便嘛。"""
st_012020_0270#0,"""......趕快走吧。<br>這次絕不能夠<br>再讓牠逃掉了。"""
st_012020_0280#0,"""那麼，不才我<br>也盡一點微薄之力吧。"""
st_012020_0290#0,"""......你打算監視我麼。"""
st_012020_0300#0,"""唉呀，妳說這什麼奇怪話。<br>難道妳做了什麼<br>需要受人監視的好事麼？"""
st_012020_0310#0,"""......隨你高興吧。"""
st_012020_0320#0,"""A.P.238/4/15/10:30:00"""
skit01#0,"""The Uncontrollable Beast"""
skit02#0,"""第9章 荒誕的謝幕"""
skit03#0,"""The First Divide"""
skit04#0,"""第9章 偶像的自白"""
