text01#0,"""哎呀，你想要<br>幫助我嗎？"""
text02#0,"""簡單的說，這次要拜託你的<br>是問券調查唷。"""
11_voice_NPC_5125_105#0,"""不過，並不是誰都可以，<br>這是以符合特定條件的<br>ARKS為對象的調查。"""
text04#0,"""和我熟識的ARKS很少，因此<br>你的話不是比較適任這工作嗎？"""
text05#0,"""那麼就盡早地<br>被稱作基本的4大職業……"""
text06#0,"""以獵人、遊俠、術士、武士<br>為個別對象所進行的問卷唷。"""
text07#0,"""我希望你去問他們<br>「因什麼原因，找出<br>現在這個職業的適合性？」"""
text08#0,"""你的話，肯定腦海中會浮現<br>出某個想得到的人物。<br>拜託你了。"""
text01#1,"""あら、仕事を<br>手伝ってくれる気になったのね？"""
text02#1,"""今回頼みたい仕事というのは<br>簡単にいうとアンケート調査よ。"""
11_voice_NPC_5125_105#1,"""ただし、誰でも良いわけではなくて<br>特定の条件に当てはまる<br>アークスを対象とした調査なの。"""
text04#1,"""私はアークスに知り合いが少ないのよ。<br>その点、貴方なら適任ではないかしら？"""
text05#1,"""では、早速だけれど<br>基本と呼ばれる４つのクラス……"""
text06#1,"""ハンター、レンジャー、フォース<br>ブレイバー、それぞれに特化している<br>人物を対象にしたアンケートよ。"""
text07#1,"""「何をきっかけに今のクラスに<br>\u3000適性を見出したか？」<br>というのを聞いてきてほしいの。"""
text08#1,"""貴方なら、きっと心当たりのある<br>人物が思い浮かんでいるはず。<br>よろしくお願いね。"""
