Title#0,"""ARKS搜索任務：雪原"""
Explanation#0,"""前往納貝流士行星雪原地域<br>進行其他任務的ARKS突然失去連絡。<br>雖然認為極有可能是通訊故障，<br>但為了預防萬一，還是希望能派出增援。<br>進行任務時請提高警覺。<br><br><br><br>――――――――――――――――――――<br>失敗條件/ARKS救援失敗"""
Title#1,"""アークス捜索任務：凍土"""
Explanation#1,"""惑星ナベリウスの凍土に向かった<br>別動のアークスから連絡が途絶えた。<br>おそらくは通信機能の障害だと思われるが<br>念のため、増援を手配したい。<br>注意して任務にあたれ。<br><br><br><br>――――――――――――――――――――<br>失敗条件/アークス救出の失敗"""
SimpleExplanation#0,"""搜索失去連絡的ARKS！"""
SimpleExplanation#1,"""連絡途絶のアークスを捜索せよ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
