ssc_510010_0010#0,"""おや、あなたでしたか。"""
ssc_510010_0020#0,"""ちょうどよかった。<br>探していたのです。"""
ssc_510010_0030#0,"""セントラルに来ていたんだね。"""
ssc_510010_0040#0,"""ふたりだけ？"""
ssc_510010_0050#0,"""はい。"""
ssc_510010_0060#0,"""物資の補給や負傷者の移送のため、<br>一時的に滞在しています。"""
ssc_510010_0070#0,"""そうですね。"""
ssc_510010_0080#0,"""ここのメディカルセンターに<br>負傷した者たちを移送していました。"""
ssc_510010_0090#0,"""それも今回で完了し、<br>あとは各員の回復を待つのみです。"""
ssc_510010_0100#0,"""……ときに、グレン隊長。<br>話があったのでは？"""
ssc_510010_0110#0,"""あ、ああ……。そうだな。"""
ssc_510010_0120#0,"""んん！<br>今回の戦いでは、世話になった。"""
ssc_510010_0130#0,"""………。"""
ssc_510010_0140#0,"""それだけですか？"""
ssc_510010_0150#0,"""いや……。"""
ssc_510010_0160#0,"""我々の戦いは、長らく一進一退だった。"""
ssc_510010_0170#0,"""負傷者は増え続け、物資も不足していた。"""
ssc_510010_0180#0,"""幾年を経ても、スティアの深部には到達できない。"""
ssc_510010_0190#0,"""お前たちが来る前に、<br>俺はスティアからの撤退を考え始めていた。"""
ssc_510010_0200#0,"""だが、隊員たちの士気は高い。"""
ssc_510010_0210#0,"""その闘志が燃え尽きる前に、<br>最後の攻勢をかける……。"""
ssc_510010_0220#0,"""そこに現れたのが、お前たちだ。"""
ssc_510010_0230#0,"""噂は聞いていた。"""
ssc_510010_0240#0,"""リテムの危機を救い、<br>ダークファルスの攻撃をも退けた。"""
ssc_510010_0250#0,"""そして、放棄されていた<br>クヴァリス再建の道をも切り開いた。"""
ssc_510010_0260#0,"""半信半疑ではあったが、<br>ほかに頼るあてもない。"""
ssc_510010_0270#0,"""お前たちとの共闘に、<br>懸けてみようと思ったんだ。"""
ssc_510010_0280#0,"""その結果は……。"""
ssc_510010_0290#0,"""我々全員が知るところだ。"""
ssc_510010_0300#0,"""まだ、戦いは終わっていないが、<br>これだけは言っておこう。"""
ssc_510010_0310#0,"""ありがとう。"""
ssc_510010_0320#0,"""私からも。<br>ありがとうございます。"""
ssc_510010_0330#0,"""ふたりは、すぐにスティアに戻る？"""
ssc_510010_0340#0,"""まだ、スティアでの戦いは続く？"""
ssc_510010_0350#0,"""ああ。"""
ssc_510010_0360#0,"""そうだな。"""
ssc_510010_0370#0,"""スティアの完全制圧には至っていない。"""
ssc_510010_0380#0,"""ドールズの設備も止められていない。"""
ssc_510010_0390#0,"""まだまだやることがある。"""
ssc_510010_0400#0,"""カヌイ。"""
ssc_510010_0410#0,"""はっ。"""
ssc_510010_0420#0,"""俺は先に戻る。<br>お前は、治療中の隊員のようすを確認してから戻れ。"""
ssc_510010_0430#0,"""了解しました。"""
ssc_510010_0440#0,"""ふう……。<br>驚きましたね。"""
ssc_510010_0450#0,"""隊長が、誰かに礼を言うのは珍しいです。"""
ssc_510010_0460#0,"""謝意を示すことはありますが、<br>“ありがとう”という言葉は初めて聞いた気がします。"""
ssc_510010_0470#0,"""それだけ、あなたのことを<br>評価しているということなのでしょう。"""
ssc_510010_0480#0,"""さて……、私もそろそろ行きます。"""
ssc_510010_0490#0,"""また、お会いしましょう。"""
