ssc_503070_0010#0,"""キミか。<br>エアリオに戻っていたか。"""
ssc_503070_0020#0,"""無事、スティアでの任務を完遂したようだな。"""
ssc_503070_0030#0,"""グレンたちを手伝っただけ。"""
ssc_503070_0040#0,"""クロフォードが全部もっていった。"""
ssc_503070_0050#0,"""彼らは精鋭ではあるが、<br>数的に不利な状況が続いていた。"""
ssc_503070_0060#0,"""キミたちの加勢によって、<br>状況が大きく変わったのは間違いない。"""
ssc_503070_0070#0,"""……それにしても、<br>クロフォードも思いきった行動に出たものだ。"""
ssc_503070_0080#0,"""そうだな。<br>私も驚いた。"""
ssc_503070_0090#0,"""まさか、クロフォードのほうから、<br>スティアに向かうと言いだすとは。"""
ssc_503070_0100#0,"""ニルス・スティアは、<br>ふたりにとっての宿敵だった。"""
ssc_503070_0110#0,"""口では、「グレンに任せる」と言っていたが……。"""
ssc_503070_0120#0,"""本心は自身の手で、<br>いや、グレンとふたりで決着をつけたかったのだろう。"""
ssc_503070_0130#0,"""幸い、当時のエアリオは、<br>ドールズの動きも鈍かった。"""
ssc_503070_0140#0,"""行動に出るには、またとないチャンスだった。"""
ssc_503070_0150#0,"""だから、私もためらいなく、<br>彼を送り出すことができたのだ。"""
ssc_503070_0160#0,"""おかげで、彼ら三人の戦いには、<br>ひとつの区切りがついた。"""
ssc_503070_0170#0,"""クロフォード、グレン、そしてヒバナ……。"""
ssc_503070_0180#0,"""ヒバナのことは、カヌイから聞いた。"""
ssc_503070_0190#0,"""ヒバナは、ニルス・スティアとの戦いで……。"""
ssc_503070_0200#0,"""そうか……。"""
ssc_503070_0210#0,"""ヒバナのことを知っていたのか。"""
ssc_503070_0220#0,"""ヒバナは、<br>グレンの古くからの馴染みでな。"""
ssc_503070_0230#0,"""誰とでも、すぐに打ち解ける、<br>不思議な女性だった。"""
ssc_503070_0240#0,"""雰囲気こそ違うが、物怖じしないところは、<br>アイナと似ていたかもしれない……。"""
ssc_503070_0250#0,"""それから、ふたりはクロフォードと出会い、<br>行動をともにするようになっていった。"""
ssc_503070_0260#0,"""クロフォードとグレンの関係は、<br>今も昔も、それほど変わっていない。"""
ssc_503070_0270#0,"""意見を違えては、<br>よく口論になっていた。"""
ssc_503070_0280#0,"""そんなふたりの仲裁に入るのは、<br>決まってヒバナだった。"""
ssc_503070_0290#0,"""すぐに、落としどころを見つけて、<br>ふたりを丸め込んでいた。"""
ssc_503070_0300#0,"""ヒバナは、勘がよくてな。"""
ssc_503070_0310#0,"""彼女のなんとなくの判断は、<br>なぜかよい結果をもたらすことが多かった。"""
ssc_503070_0320#0,"""理論が先行するクロフォードとは、<br>正反対ではあったが……。"""
ssc_503070_0330#0,"""どういうわけか、話は合うようだった。"""
ssc_503070_0340#0,"""それぞれが、異なる気質でありながら、<br>三人の関係は、とても自然なものに見えた。"""
ssc_503070_0350#0,"""とくに、戦いの連携は目を見張るものがあった。"""
ssc_503070_0360#0,"""前衛をグレン、後衛をクロフォードが担い、<br>ヒバナは両者のあいだで柔軟に立ち回る。"""
ssc_503070_0370#0,"""三人だけで、強力なドールズを、<br>次々と打ち倒していった。"""
ssc_503070_0380#0,"""誰もが、この三人こそがエアリオの導き手になると、<br>信じて疑わなかった。"""
ssc_503070_0390#0,"""それだけに……、ヒバナの死は、<br>大きな空白を生んだ。"""
ssc_503070_0400#0,"""彼女を失い、クロフォードとグレンは、<br>ひたすら自分の信じる道を突き進むようになっていった。"""
ssc_503070_0410#0,"""ニルス・スティアとの戦いに決着がついて……。"""
ssc_503070_0420#0,"""ふたりは、その空白を……、<br>埋めることができただろうか。"""
ssc_503070_0430#0,"""む？<br>なにかトラブルのようだ。"""
ssc_503070_0440#0,"""すまないが、私はそちらに向かうとする。"""
ssc_503070_0450#0,"""いずれまた、<br>ゆっくりと話をしよう。"""
ssc_503070_0460#0,"""それではな。"""
