name01#0,"""Astalte"""
11_voice_shop_413#0,"""ตรวจสอบแล้วภารกิจเรียบร้อยดี<br>ก่อนจะปัมป์ Stamp ให้ ช่วยอ่านข้อมูล<br>เกี่ยวกับ Matter Board นี่สักหน่อยนะ"""
text02#0,"""[Matter Board นั้น<br>คือตัวที่จะช่วยนำไปสู่เป้าหมายใหม่ได้ <br>ถ้าสามารถทำภารกิจที่ระบุไว้ได้สำเร็จ]"""
text03#0,"""[ภารกิจเป้าหมายก็อย่างเช่นให้ไปกำจัดศัตรู<br>, เก็บของให้ครบ <br>หรือกระทั่งสนทนากับบุคคลที่ระบุไว้]"""
text04#0,"""[แล้วถ้าทำสำเร็จ เส้นทางใหม่ก็จะเกิดขึ้น <br>และทำให้เนื้อเรื่องหลักก้าวหน้า<br>เชิญเลือกทำสิ่งที่สนใจได้ตามอัทธยาศัยนะ]"""
text05#0,"""จบแล้ว<br>งั้นก็จะปัมป์ Stamp ให้แล้วนะ"""
name01#1,"""アスタルテ"""
11_voice_shop_413#1,"""目標達成を確認しました。<br>スタンプを押す前に、マターボードに<br>ついての資料を読み上げます。"""
text02#1,"""『マターボードは<br>示された目標を達成していくことで<br>新たな道が拓かれていく、指針です』"""
text03#1,"""『敵を倒して、落とすアイテムを<br>拾ったり、特定の人に会いに行ったり<br>目標はさまざまです』"""
text04#1,"""『達成すれば新たな道が伸び<br>そして、物語が進みます。<br>好きなタイミングで進めて下さい』"""
text05#1,"""以上です。<br>では、スタンプを押します。"""
