11_voice_NPC_5050_100#0,"""นั่นคือสิ่งที่ ARKS Code ระบุไว้<br>สำหรับคนที่ไม่ชำนาญ"""
text02#0,"""ใครก็ตามที่ไม่สามารถทำ Phongalphs ได้ <br>ก็ไม่สามารถรับ Mag ได้"""
text03#0,"""Mag  มีประโยชน์กับเจ้าหน้าที่ ARKS มาก<br>และทุกคนอยากจะได้มัน ซึ่งถ้ามันอยู่กับคนผิดคน<br>อาจจะเกิดอันตรายได้"""
text04#0,"""นั่นเป็นเหตุผลที่ท่านต้องการสิทธิ์ (License) <br>ในการครอบครองมัน"""
text05#0,"""แม้บางคนจะบอกว่า Mag ไม่ใช่สิ่งจำเป็นมากมาย<br>แต่ข้าก็แนะนำเป็นอย่างมากที่ท่านต้องมีสิทธิ์ (License)"""
11_voice_NPC_5050_100#1,"""……アークス規定の文言には<br>このように記してあります。<br>翻って言えば、こういうことです。"""
text02#1,"""『フォンガルフすら倒せない人に<br>\u3000マグライセンスなんて必要ない』"""
text03#1,"""マグはアークスにとって非常に有用。<br>皆が所有を望みますが、便利ゆえに<br>悪用されては困るものです。"""
text04#1,"""そのため、所持にはライセンスが必要で<br>ライセンスを持たないものは<br>マグの使役が不可能となっています。"""
text05#1,"""マグは不要、と仰る方もいるでしょう。<br>ですが私の立場と見地としては<br>ライセンスの取得を勧めますよ。"""
text00#0,"""เกี่ยวกับ [Mag]"""
text01#0,"""Tutorial<br>ข้อมูลเกี่ยวกับ [Mag]<br><br>Mag คือหุ่นยนต์ช่วยเหลือผู้เล่น<br>ทำหน้าที่เป็นพาร์ทเนอร์<br>ที่จะเติบโตไปพร้อมๆกับผู้เล่น<br><br>มันสามารถสนับสนุนผู้เล่นได้หลายด้าน<br>ทั้งเสริมสเตตัส ช่วยในการต่อสู้ ใช้ PhotonBlast รวมถึงเวลาสร้างไอเทม"""
text02#2,"""Mag มีหลายแบบ<br>รูปแบบจะต่างกันออกไปตามการเลี้ยงดู<br>และการเสริมค่าพลังให้ผู้เล่นก็จะต่างกันตามไปด้วย"""
text03#2,"""Mag สามารถเติมโตขึ้นเมื่อได้รับไอเทม<br>ค่าพลังของ Mag จะเปลี่ยนไปตามชนิดของไอเทมที่ได้รับ<br>และเมื่อมันมีเลเวลถึงระดับหนึ่ง<br>จะเกิดการวิวัฒนาการไปสู่รูปร่างใหม่"""
text04#2,"""Mag นั้นสามารถวิวัฒนาการได้หลายรูปแบบ<br>มีทั้งแบบที่สามารถช่วยโจมตีศัตรู<br>แบบที่ช่วยรักษาอาการบาดเจ็บให้ผู้เล่นได้<br>และอื่นๆอีกมากมาย"""
text05#2,"""นอกจากนั้นเจ้ายังสามารถใช้ MagDevice<br>เพื่อปรับเปลี่ยนค่าพลังหรือรูปร่างของ Mag ได้อีกด้วย<br><br>ประโยชน์มากมายขนาดนี้<br>โปรดอย่าลืมหาทางรับ MagLicence ให้ได้<br>และมาเลี้ยง Mag กัน"""
text00#1,"""『マグ』について"""
text01#1,"""チュートリアル<br>『マグ』について説明します。<br><br>マグとは、キャラクターを支援する<br>機械生命体です。<br>キャラクターと共に成長する<br>パートナーのような存在です。<br><br>パラメーターの補正、戦闘支援、<br>フォトンブラスト、生産など、<br>さまざまなサポートをしてくれます。"""
text02#3,"""マグは様々なタイプに<br>成長させることが可能で、<br>装備したマグのパラメータをキャラクターの<br>能力に転換し、キャラクターのステータスを<br>底上げすることができます。"""
text03#3,"""マグはアイテムを食べることで成長します。<br>与えるアイテムによって、<br>アップする能力は変化します。<br>レベルが一定に達すると<br>新たな形態に進化します。<br><br>※マグのエネルギーが減っている場合にのみ<br>\u3000アイテムを与えることができます。"""
text04#3,"""新たに進化したマグの中には<br>エネミーに対して自動で攻撃するものや<br>プレイヤーに対して回復を行うものなど<br>いろんな種類や効果をもったマグがいます。"""
text05#3,"""マグデバイスを利用することで、<br>マグの能力や見た目を<br>カスタマイズすることも可能になります。<br><br>マグライセンスを取得し、<br>冒険のパートナーである<br>マグを育てましょう。"""
