text01#0,"""ถ้าข้าได้คุยกับพวกเขาก็ดีนะ<br>บางทีพวกเขาอาจจะรู้อะไรบางอย่าง<br>เกี่ยวกับคนที่ขายตามหาอยู่"""
text02#0,"""แต่ข้าคิดว่าเราต้องหาทางกำจัด D-arkers ก่อน"""
text03#0,"""ท่านว่าไงพาร์ทเนอร์? ไปล่า<br>Carthagos ด้านบนของ Cauldron กัน!"""
11_voice_NPC_5003_100#0,"""ถ้าข้าไปคนเดียวน่าจะแย่<br>แต่มีท่านอยู่คงง่ายๆ!"""
text100#0,"""ออกเดินทางกับ Partner Characters"""
text101#0,"""<yellow>*Client Order กับ Afin นี้จะง่ายขึ้นถ้าท่านตั้งพาสเวิร์ดในเมนู <br>\""ใส่ข้อมูลปาร์ติ้\"" แล้วเลือก \""จำกัดการร้องขอจากปาร์ตี้อื่น\"" เมื่อรับมัน<c>"""
text01#1,"""せっかく話せるなら話してみてーよな。<br>もしかしたら、おれの探してる人のこと<br>何か知ってるかもしれないし。"""
text02#1,"""ま、そのためにはまずダーカーの殲滅が<br>必要ってのもよーっくわかってるけど。"""
text03#1,"""ということで、相棒！<br>火山洞窟に出現する<br>カルターゴの殲滅任務に行こうぜ！"""
11_voice_NPC_5003_100#1,"""おれ一人だと<br>ちょっとなーって任務だけど<br>相棒と一緒なら楽勝、楽勝！"""
text100#1,"""『パートナーキャラクターの同行について』"""
text101#1,"""<yellow>※アフィンを同行させるこのクライアントオーダーは<br>\u3000クエスト受注時の<br>\u3000「パーティー情報入力メニュー」でパスワードを設定し<br>\u3000「他パーティーからのマルチプレイ要求も制限」を<br>\u3000選択することで、達成しやすくなります。<c>"""
