Title#0,"""Cauldron Skirmish"""
Explanation#0,"""เรามีข้อมูลว่าพวก D-arker มารวมตัวกันที่ Cauldron บน Amduskia<br>Dragorii พยายามต่อสู้กับพวกมันอย่างสุดชีวิต<br>แต่มีพวกมันจำนวนมากถูก D-arker ครอบงำ<br>ขอให้ ARKS จงไปเข้าต่อสู้กับ D-arker และ Dragorii<br>ที่ถูกครอบงำที่ Cauldron และกำจัดพวกมันให้มากที่สุด<br>ขอให้โชคดี"""
Title#1,"""火山洞窟遊撃戦"""
Explanation#1,"""惑星アムドゥスキアの火山洞窟に<br>多数のダーカーが出現したと情報が入った。<br>龍族も奮戦しているが、侵食を受け<br>凶暴化してしまったものも多いようだ。<br>アークス各員は順次出撃し、火山洞窟を<br>闊歩するダーカーや、侵食を受けてしまった<br>龍族への対処を行え。<br>可能な限りの転戦を請う。以上だ。"""
SimpleExplanation#0,"""กำจัดศัตรูจนกว่าจะหมดเวลา!"""
SimpleExplanation#1,"""時間一杯エネミーを撃退せよ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
