name01#0,"""修奈爾"""
st_054130_0010#0,"""多麼……多麼<br>壓倒性的力量喲，守護輝士……！"""
st_054130_0020#0,"""不對。<br>也有你們的力量麼……實驗體喲。"""
st_054130_0030#0,"""漂亮……！<br>是我……輸了……！"""
st_054130_0040#0,"""<%me>桑！<br>還好吧！？"""
st_054130_0050#0,"""１．剛才的力量是……"""
st_054130_0060#0,"""２．比起這個，他們兩個人……"""
st_054130_0070#0,"""我不明白……<br>反應的的確確是【巨軀】的力量……"""
st_054130_0080#0,"""對了，梅爾馮希娜……！"""
st_054130_0090#0,"""哥德哈特也不在了。<br>而且，梅爾馮希娜也……"""
st_054130_0100#0,"""……喂，<%me>。<br>是時候還借你力量的禮了。"""
st_054130_0110#0,"""喲，希娜。<br>真是狼狽啊，我們倆。"""
st_054130_0120#0,"""……是呢，哥德哈特。<br>竟然被當成道具使用<br>真是難看啊，我。"""
st_054130_0130#0,"""……但是，結束了。<br>這傢伙被我們終結了。"""
st_054130_0140#0,"""嗯，看見了。<br>不愧是守護輝士。<br>……真的非常感謝。"""
st_054130_0150#0,"""經過好久了呢，直到現在。"""
st_054130_0160#0,"""是啊，好久了。"""
st_054130_0170#0,"""……有一點兒累了呢。<br>休息的話，大家也不會生氣的吧。"""
st_054130_0180#0,"""哈，早就已經休息了的傢伙們怎麼會抱怨。"""
st_054130_0190#0,"""……那麼，我也想休息了。"""
st_054130_0200#0,"""啊啊。"""
st_054130_0210#0,"""……再見，哥德哈特。"""
st_054130_0220#0,"""再見，希娜。"""
st_054130_0230#0,"""這裏就是我們的終點了。<br>只存在於記錄的希娜和<br>還有早已經不存在我的記憶的終點。"""
st_054130_0240#0,"""但是，<%me>。<br>這裏可不是你的終點。<br>應該還有你該做的事情。"""
st_054130_0250#0,"""徒花，魔神城……<br>那是侵蝕這個世界的根源。"""
st_054130_0260#0,"""而且，威倫國內應該<br>還殘留着不少的魔神城。"""
st_054130_0270#0,"""要是不想辦法處理一下的話……<br>就有點兒對不起那兩人呢。"""
st_054120_0430#0,"""應該已經被【巨軀】吞噬了的我<br>這次又變成守護輝士的力量了麼。<br>……哈，反正肯定是因果什麼的吧。"""
st_054120_0440#0,"""從第一次在納貝流士相遇的時候開始<br>就覺得我們有相同的味道……<br>但是萬萬沒想到會和你同化。"""
st_054120_0450#0,"""如今也沒有興趣瞭解這個狀況。<br>反正肯定是阿卡西記錄的一時興起吧。<br>沒有思考的價值。"""
st_054120_0460#0,"""……拿着我的力量前進吧。<br>這個【巨軀】應該是必須的。"""
st_054120_0470#0,"""……然後，拯救給我看吧。<br>讓我見識下你那幼稚的做法吧。"""
st_054120_0480#0,"""哥、哥德哈特的光子在<br><%me>的身體裏……"""
st_054120_0490#0,"""不對，這是……<br>【巨軀】的反應！？"""
st_054120_0500#0,"""<%me>……<br>這是什麼情況？"""
st_054120_0510#0,"""但是，這個姿態……<br>完全就像是……黑暗種！"""
st_054120_0520#0,"""哈、哈哈、哈哈哈哈哈！<br>得到了和我一樣的力量麼！<br>這樣作爲對手就很棒了啊！"""
st_054120_0530#0,"""守護輝士喲，果然最後變成你和我的單挑了啊！"""
st_054120_0540#0,"""１．我不是一個人"""
st_054120_0550#0,"""２．我們是三個人"""
st_054120_0560#0,"""我們的想法……就拜託了。"""
st_054120_0570#0,"""用全力打倒你！"""
skit01#0,"""***"""
skit02#0,"""***"""
