name_7447#0,"""ホクト"""
ssn_015650_0001#0,"""キミは……。<br>今噂になっているアークスだな。"""
ssn_015650_0002#0,"""活躍のほどは聞いている。<br>スティアでの活動にも期待しているぞ。"""
ssn_015650_0101#0,"""キミか……。"""
ssn_015650_0102#0,"""先の戦いでは、<br>目覚ましい活躍を見せたそうだな。"""
ssn_015650_0103#0,"""その腕を見込んで、<br>ひとつ頼みたいことがある。"""
ssn_015650_0104#0,"""いいかな？"""
ssn_015650_0201#0,"""まずは、スティアのコクーン踏破を進めてもらいたい。<br>よろしく頼む。"""
ssn_015650_0301#0,"""そうか……。<br>また頼む。"""
ssn_015650_0401#0,"""戻ってきたか。"""
ssn_015650_0402#0,"""それでは、データを確認させてもらおう。"""
ssn_015650_0403#0,"""……ふむ、……なるほど。"""
ssn_015650_0404#0,"""うん、完璧だ！<br>ありがとう。"""
ssn_015650_0405#0,"""キミに頼んでよかった。<br>おかげで貴重な情報を得ることができた。"""
ssn_015650_0406#0,"""……それで、続けてですまないが、<br>タワーの踏破を頼みたい。"""
ssn_015650_0407#0,"""時間があるときでいい、<br>また声をかけてくれ。"""
ssn_015650_1001#0,"""準備はいいだろうか？"""
ssn_015650_1002#0,"""さっそくだが、<br>調査の続きを頼みたい。"""
ssn_015650_1101#0,"""今回はスティアのタワーを踏破してもらいたい。"""
ssn_015650_1102#0,"""よいデータが取れることを期待している。<br>頼んだぞ。"""
ssn_015650_1201#0,"""そうか……。<br>ならば、仕方あるまい。"""
ssn_015650_1301#0,"""戻ってきたか。<br>データを受け取らせてもらうぞ。"""
ssn_015650_1302#0,"""……うんうん。<br>……おお！"""
ssn_015650_1303#0,"""よい記録だ。<br>これで研究が進められる。"""
ssn_015650_1304#0,"""改めて思うが、本来ヒトのいないこのスティアに、<br>訓練施設があるというのもおかしな話だ。"""
ssn_015650_1305#0,"""誰がどんな目的で、<br>この場所に建てたのか……。"""
ssn_015650_1306#0,"""各地の研究員も、<br>トレイニアの調査を進めていると聞いている。"""
ssn_015650_1307#0,"""今後は、彼らとも情報共有をしていくつもりだ。<br>きっと、あらたな発見があるだろう。"""
ssn_015650_1308#0,"""今回は、本当に助かった。"""
ssn_015650_1309#0,"""心から礼を言うぞ。"""
ssn_015650_1401#0,"""トレイニアには多くの謎がある。"""
ssn_015650_1402#0,"""その謎の解明に、<br>私の研究が少しでも役に立てたらと思っているよ。"""
