un_020720_0010#0,"""......รุ่นพี่<br>พักนี้ ที่รอบๆ ตัวมีอะไร<br>แปลกๆ เกิดขึ้นบ้างหรือเปล่า?"""
un_020720_0020#0,"""ยังไม่เกิดเรื่องอะไรขึ้นเป็นพิเศษสินะ"""
un_020720_0030#0,"""แต่อีกไม่นานจะต้องมีแน่<br>......แล้วเกิดกับตัวรุ่นพี่ด้วย<br>นี่ไม่ได้ขู่เล่นๆ นะ"""
un_020720_0040#0,"""เพราะคนที่ไม่ค่อยมีใครชอบหน้าอย่างข้าน่ะ<br>อยู่วงนอกมาตลอด จึงทำให้รู้ดีว่าบรรยากาศ<br>มันเปลี่ยนแปลงไปอะไรยังไง"""
un_020720_0050#0,"""ข้านึกภาพไม่ค่อยออกเลยแฮะ<br>......ภาพของรุ่นพี่<br>ที่ไปก่อความผิดอะไรไว้น่ะ"""
un_020720_0060#0,"""งั้นก็หมายความว่า รุ่นพี่อาจจะ<br>ไปรู้อะไรที่ไม่ควรรู้เข้า ก็เลย<br>มีคนอยากจะกำจัดรุ่นพี่ทิ้งก็ได้"""
un_020720_0070#0,"""......แต่ก็นะ ทั้งหมดมันก็เป็นแค่การเดา<br>ทว่านี่ก็เป็นโลกที่มีเรื่องเหมือนกับโกหกเกิดขึ้น<br>ดังนั้นถึงแม้จะเกิดอะไรขึ้นก็คงจะไม่แปลกอะไร"""
un_020720_0080#0,"""ถึงแม้จะฟังดูเหมือนข้าเข้าไปจุ้นจ้านก็ตาม<br>แต่ก็ระมัดระวังตัวเองด้วยล่ะ รุ่นพี่"""
un_020720_0010#1,"""……センパイ。<br>最近、身の回りで何か<br>ヘンなこと起きてないか？"""
un_020720_0020#1,"""まだ、特に何も起きてないか。"""
un_020720_0030#1,"""でもそのうちなにかあるぜ。<br>……センパイがらみで、だ。<br>これは脅しじゃなく。"""
un_020720_0040#1,"""おれみたいな爪弾きものは<br>囲いの外にいるようなもんだからな。<br>空気の変化がよくわかるんだよ。"""
un_020720_0050#1,"""センパイが何か罪を犯した<br>……ってのは、あんまり<br>想像できないな。"""
un_020720_0060#1,"""となると、何か不都合なこととか<br>知ってはいけないことに踏み込んでて<br>煙たがられてるのかもな。"""
un_020720_0070#1,"""……ま、全部推測だけどさ。<br>嘘みたいなことが起こる世界だ。<br>何があっても不思議じゃない。"""
un_020720_0080#1,"""余計なお世話かもしれないけど<br>気をつけてな、センパイ。"""
