text01001#0,"""午安！<br>你是ARKS的成員吧？"""
text01002#0,"""嗯，嗯嗯，合格！"""
text01003#0,"""啊，抱歉抱歉。<br>我的名字叫希伊。"""
text01004#0,"""我也是想請你幫忙。<br>不知道你能不能聽我說說呢？"""
text02001#0,"""進步是什麼樣的感覺？<br>我會一直等你的！"""
text03001#0,"""辛苦啦!<br>老是對你提出各種要求<br>多虧有你更熱鬧了呢。"""
text03002#0,"""您也一定要和朋友一起好好玩唷!<br>橘子節快樂!"""
text01001#1,"""こんにちはっ！<br>貴方、アークスよね？"""
text01002#1,"""うん、うんうん、合格っ！"""
text01003#1,"""あ、ごめんごめん。<br>わたしの名前はシー。"""
text01004#1,"""協力して欲しいことがあるんだけど<br>話を聞いてくれないかな？"""
text02001#1,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
text03001#1,"""おつかれさまーっ！<br>色々お願いしちゃったけど<br>貴方のおかげで盛り上がってるよっ！"""
text03002#1,"""貴方も是非、お友達と一緒に<br>楽しんでねっ！<br>ハッピーガマニアデー！！"""
text02002#0,"""呵呵！<br>很期待製作完成啊！"""
text02002#1,"""ふふっ！<br>完成が楽しみだなぁ！"""
text02021#0,"""情人節<br>對女生來說，<br>真的是很重要的節日耶！"""
text02022#0,"""所以我想拜託你！<br>我需要你的幫助！"""
text02021#1,"""バレンタインってさ<br>やっぱり女の子にとっては<br>大事なイベントだからねっ！"""
text02022#1,"""だからおねがいっ！<br>貴方の協力が必要なのっ！"""
