un_012270_0010#0,"""...อ๊ะ<br>ท่าน <%me>"""
un_012270_0020#0,"""ขอโทษค่ะ ที่เหม่อลอย<br>พอดี คิดถึงเรื่อง Haddred<br>นิดหน่อยค่ะ..."""
un_012270_0030#0,"""ก่อนหน้านี้ ตอนที่เค้าช่วยชั้นไว้<br>จากอันตราย ชั้นนึกไม่ออกเลย<br>ว่าอะไรทำให้เค้าจู่ๆ ก็ปรากฏตัวออกมาได้"""
un_012270_0040#0,"""แต่ คิดว่า...<br>เค้าไม่ได้มา เพื่อช่วยชั้น เค้าแค่<br>อาจจะตามเสียงเพลงมาก็ได้"""
un_012270_0050#0,"""เสียงเพลงอันอ่อนโยน เหมือนเพลงกล่อมเด็ก<br>เวลาหมอนั่นได้ฟังเพลงแบบนั้น<br>เค้ามักจะทำหน้าดีใจที่สุดเลย..."""
un_012270_0060#0,"""ถึงเค้าจะสูญเสียสติไป ถึงเค้าจะไม่<br>รู้สึกตัวแล้ว แต่ถ้าเค้าต้องการ<br>ที่จะฟังเพลงของชั้นแล้วล่ะก็..."""
un_012270_0070#0,"""ชั้นก็จะร้องมัน เพื่อเป็นของขวัญแก่เค้า<br>และเก็บกวาดทุกอย่าง<br>"""
un_012270_0080#0,"""ไม่เกี่ยวกับภารกิจ หรือคำสั่งใดๆ<br>ชั้นแค่จะทำ เพราะต้องการทำแค่นั้น..."""
un_012270_0090#0,"""A.P.238/4/14"""
un_012270_0010#1,"""……あ<br><%me>さん。"""
un_012270_0020#1,"""すみません、呆けていました。<br>少し、ハドレッドのことを<br>考えていたので……"""
un_012270_0030#1,"""以前、あいつがわたしの危機を<br>救ってくれた時、何を道しるべに<br>現れたのか、わかりませんでした。"""
un_012270_0040#1,"""でも、もしかしたら……<br>助けるため、ではなく、歌を<br>聴くために来たのかもしれません。"""
un_012270_0050#1,"""子守歌のような、優しい歌。<br>あいつはあれを聴いている時に<br>一番嬉しそうな顔していましたから……"""
un_012270_0060#1,"""意志を失い、空間を隔ててなお<br>わたしの歌を聴きたいと<br>あいつが願うのなら……"""
un_012270_0070#1,"""あいつを手向けるために<br>わたしは歌い、そして始末をつけます。"""
un_012270_0080#1,"""命令とか、任務とかは関係ありません。<br>わたしが、やるべきこととして……"""
un_012270_0090#1,"""A.P.238/4/14"""
