IncidentName#0,"""กำจัด $(0)"""
TrialBeginMsg#0,"""จงกำจัด $(0)!<br>ภารกิจนี้จะล้มเหลวหาก Partner พลังชีวิตหมดสองครั้ง"""
TrialAbstract#0,"""จงกำจัด $(0)!<br>ภารกิจนี้จะล้มเหลวหาก Partner พลังชีวิตหมดสองครั้ง"""
IncidentName#1,"""$(0)撃破"""
TrialBeginMsg#1,"""$(0)を撃破せよ！<br>パートナーが2回戦闘不能になったら失敗。"""
TrialAbstract#1,"""$(0)を撃破せよ！<br>パートナーが2回戦闘不能になったら失敗。"""
NpcComOnBegin#0,"""มี ARKS กำลังต่อสู้อยู่ในบริเวณใกล้เคียง!<br>กรุณารีบไปสมทบกับเค้าและทำการขับไล่<br>ศัตรูทุกตัวที่อยู่ในอาณาบริเวณนั้นโดยเร็ว!"""
NpcComOnSuccess#0,"""/face2 ขอบคุณที่เหน็ดเหนื่อยนะ!<br>เป็นการประสานงานที่เยี่ยมจริงๆ !"""
NpcComOnFailure#0,"""/face4 เป็นเรื่องที่น่าเสียดายแต่ก็ช่วยไม่ได้<br>สำหรับ ARKS เป้าหมายนั้น ทางนี้จะเป็นผู้<br>ที่ไปรับกลับมาเอง"""
NpcComOnDownA#0,"""ดูเหมือนว่าจะไม่ค่อยให้ร่วมมือกันเลย<br>ทั้งคู่กรุณาอย่าลืมที่จะให้ความร่วมมือ<br>ซึ่งกันและกันด้วย"""
NpcComOnDownB#0,"""ARKS เป้าหมายกำลังได้รับบาดเจ็บหนัก<br>ในกรณีที่ทำล้มเหลวในครั้งต่อไป<br>ขอแนะนำให้ถอนกำลังออกจากที่นั่น"""
NpcComOnDownPB#0,"""$(0) กำลังได้รับบาดเจ็บหนักมาก<br>ครั้งต่อไปที่พลังชีวิตหมด<br>จะทำการบังคับรับตัวกลับทันที"""
NpcComOnBeginP1#0,"""Support Partner <br>$(0)<br>กำลังถูกศัตรูจู่โจมอยู่!"""
NpcComOnBeginP2#0,"""กรุณาทำการกำจัดศัตรูโดยรอบ<br>และคุ้มครองเค้าไปยังที่ๆ ปลอดภัย"""
NpcComOnFailureP#0,"""/face4 แม้จะน่าเสียดายแต่ก็ช่วยไม่ได้<br>$(0) นั้น<br>ทางนี้จะเป็นผู้ที่ไปรับตัวกลับมาเอง"""
NpcComOnBegin#1,"""近辺に交戦中のアークスが居ます！<br>至急合流し、協力して<br>周囲一帯の敵を撃退して下さい！"""
NpcComOnSuccess#1,"""/face2 お疲れ様でした！<br>いい協力関係だったと思います！"""
NpcComOnFailure#1,"""/face4 残念ですが、仕方がありません。<br>対象のアークスは、こちらで<br>回収します。"""
NpcComOnDownA#1,"""連携がうまくいっていないようです。<br>互いに協力を忘れないで下さい。"""
NpcComOnDownB#1,"""対象のアークスに多大な負担が<br>かかっています。次の失敗時には<br>撤退を推奨させてもらいます。"""
NpcComOnDownPB#1,"""$(0)に<br>多大な負荷がかかっています。<br>次の戦闘不能時には強制回収します。"""
NpcComOnBeginP1#1,"""$(0)の<br>サポートパートナーが<br>エネミーに襲われています！"""
NpcComOnBeginP2#1,"""周囲のエネミーを排除し<br>安全を確保してください。"""
NpcComOnFailureP#1,"""/face4 残念ですが仕方ありません。<br>$(0)は<br>こちらで回収し、帰還させます。"""
