extra_assign#0,"""exq_$(0)"""
exq_EnemyAtkDown_010#0,"""攻擊力降低10%"""
exq_EnemyAtkDown_020#0,"""攻擊力降低20%"""
exq_EnemyAtkDown_030#0,"""攻擊力降低30%"""
exq_EnemyAtkDown_040#0,"""攻擊力降低40%"""
exq_EnemyAtkDown_050#0,"""攻擊力降低50%"""
exq_EnemyAtkDown_060#0,"""攻擊力降低60%"""
exq_EnemyAtkDown_070#0,"""攻擊力降低70%"""
exq_EnemyAtkDown_080#0,"""攻擊力降低80%"""
exq_EnemyAtkDown_090#0,"""攻擊力降低90%"""
exq_EnemyAtkUp_010#0,"""攻擊力提升10%"""
exq_EnemyAtkUp_020#0,"""攻擊力提升20%"""
exq_EnemyAtkUp_030#0,"""攻擊力提升30%"""
exq_EnemyAtkUp_040#0,"""攻擊力提升40%"""
exq_EnemyAtkUp_050#0,"""攻擊力提升50%"""
exq_EnemyAtkUp_060#0,"""攻擊力提升60%"""
exq_EnemyAtkUp_070#0,"""攻擊力提升70%"""
exq_EnemyAtkUp_080#0,"""攻擊力提升80%"""
exq_EnemyAtkUp_090#0,"""攻擊力提升90%"""
exq_EnemyAtkUp_100#0,"""攻擊力提升100%"""
exq_EnemyAtkUp_200#0,"""攻擊力提升200%"""
exq_EnemyAtkUp_300#0,"""攻擊力提升300%"""
exq_EnemyAtkUp_400#0,"""攻擊力提升400%"""
exq_EnemyAtkUp_500#0,"""攻擊力提升500%"""
exq_EnemyDefDown_010#0,"""防御力降低10%"""
exq_EnemyDefDown_020#0,"""防御力降低20%"""
exq_EnemyDefDown_030#0,"""防御力降低30%"""
exq_EnemyDefDown_040#0,"""防御力降低40%"""
exq_EnemyDefDown_050#0,"""防御力降低50%"""
exq_EnemyDefDown_060#0,"""防御力降低60%"""
exq_EnemyDefDown_070#0,"""防御力降低70%"""
exq_EnemyDefDown_080#0,"""防御力降低80%"""
exq_EnemyDefDown_090#0,"""防御力降低90%"""
exq_EnemyDefUp_010#0,"""防御力提升10%"""
exq_EnemyDefUp_020#0,"""防御力提升20%"""
exq_EnemyDefUp_030#0,"""防御力提升30%"""
exq_EnemyDefUp_040#0,"""防御力提升40%"""
exq_EnemyDefUp_050#0,"""防御力提升50%"""
exq_EnemyDefUp_060#0,"""防御力提升60%"""
exq_EnemyDefUp_070#0,"""防御力提升70%"""
exq_EnemyDefUp_080#0,"""防御力提升80%"""
exq_EnemyDefUp_090#0,"""防御力提升90%"""
exq_EnemyHpUp_10#0,"""HP提升10%"""
exq_EnemyHpUp_20#0,"""HP提升20%"""
exq_EnemyHpUp_30#0,"""HP提升30%"""
exq_EnemyHpUp_40#0,"""HP提升40%"""
exq_EnemyHpUp_50#0,"""HP提升50%"""
exq_EnemyHpUp_60#0,"""HP提升60%"""
exq_EnemyHpUp_70#0,"""HP提升70%"""
exq_EnemyHpUp_80#0,"""HP提升80%"""
