text01#0,"""งั้น ท่านคิดว่าโทนิคเป็นยังไงบ้าง?<br>เยี่ยมเลยใช่มั้ย?"""
text02#0,"""การเพิ่ม Stat เจ๋งไปเลยใช่ไหม?<br>ถึงแม้มันจะชั่วคราว แต่ข้าก็ชอบผลของมัน"""
11_voice_NPC_5003_105#0,"""แต่รสชาติมันแปลกๆ ใช่เปล่า?<br>มันอาจจะไม่ค่อยอร่อยเท่าไหร่"""
text04#0,"""มันรู้สึกกดดันจริงๆ ที่นางพยาบาลใน <br>Medical Center Nurses คอยเฝ้าดูข้าแบบนี้"""
text05#0,"""มันเหมือนกับพวกรอข้าทำอะไรบางอย่าง<br>Medical Center ปฏิบัติกับข้าได้แย่มาก!"""
tutorial01#0,"""[เกี่ยวกับ ClientOrder]"""
tutorial02#0,"""ปรากฏ Client Order Request จาก Jan<br><br>Jan อยู่ที่ ShoppingArea - SouthOuterPass"""
tutorial03#0,"""ปรากฏ Client Order Request จาก Lola<br><br>Lola อยู่ที่ Gate Area - Medical Center"""
text01#1,"""……どうだったよ、相棒。<br>ああいや、まずはおれの感想から<br>言った方がいいか。"""
text02#1,"""能力は伸びた感じがする。<br>一定時間とはいえ、効果が期待できる<br>そんな感じの身体の調子。"""
11_voice_NPC_5003_105#1,"""……けど、不味いな。<br>いや、不味いってわけじゃなくて<br>味はまあいいっちゃいいんだけど……"""
text04#1,"""なんつーか、変に緊張した。<br>周り、みーんなメディカルセンターの<br>職員で、じーっと見られてたからかな？"""
text05#1,"""なんでみんな揃いも揃って見てきて<br>飲み終わったあと安心したように<br>ため息ついてたんだろうな。"""
tutorial01#1,"""『クライアントオーダー』について"""
tutorial02#1,"""ジャンにクライアントオーダーが発生しました。<br><br>ジャンはショップエリア・南外周通路にいます。"""
tutorial03#1,"""ローラにクライアントオーダーが発生しました。<br><br>ローラはゲートエリア・メディカルセンターにいます。"""
