Npc47_01_010#0,"""คนเป็น ARKS เห็นมีเรื่องให้ต้องเหนื่อยทุกวัน<br>อย่างน้อยเวลาอยู่ที่ Lobby ก็พักผ่อนให้เต็มที่แล้วกันนะ"""
Npc47_01_010#1,"""アークスはいつも大変なんだから<br>ロビーに居る時ぐらいは<br>ゆっくり休んでいってね。"""
Npc47_02_010#0,"""คนเป็น ARKS เห็นมีเรื่องให้ต้องเหนื่อยทุกวัน<br>อย่างน้อยเวลาอยู่ที่ Lobby ก็พักผ่อนให้เต็มที่แล้วกันนะ"""
Npc47_02_010#1,"""アークスはいつも大変なんだから<br>ロビーに居る時ぐらいは<br>ゆっくり休んでいってね。"""
Npc47_03_010#0,"""คนเป็น ARKS เห็นมีเรื่องให้ต้องเหนื่อยทุกวัน<br>อย่างน้อยเวลาอยู่ที่ Lobby ก็พักผ่อนให้เต็มที่แล้วกันนะ"""
Npc47_03_010#1,"""アークスはいつも大変なんだから<br>ロビーに居る時ぐらいは<br>ゆっくり休んでいってね。"""
Npc47_04_010#0,"""คนเป็น ARKS เห็นมีเรื่องให้ต้องเหนื่อยทุกวัน<br>อย่างน้อยเวลาอยู่ที่ Lobby ก็พักผ่อนให้เต็มที่แล้วกันนะ"""
Npc47_04_010#1,"""アークスはいつも大変なんだから<br>ロビーに居る時ぐらいは<br>ゆっくり休んでいってね。"""
Npc47_05_010#0,"""คนเป็น ARKS เห็นมีเรื่องให้ต้องเหนื่อยทุกวัน<br>อย่างน้อยเวลาอยู่ที่ Lobby ก็พักผ่อนให้เต็มที่แล้วกันนะ"""
Npc47_05_010#1,"""アークスはいつも大変なんだから<br>ロビーに居る時ぐらいは<br>ゆっくり休んでいってね。"""
Npc47_06_010#0,"""คนเป็น ARKS เห็นมีเรื่องให้ต้องเหนื่อยทุกวัน<br>อย่างน้อยเวลาอยู่ที่ Lobby ก็พักผ่อนให้เต็มที่แล้วกันนะ"""
Npc47_06_010#1,"""アークスはいつも大変なんだから<br>ロビーに居る時ぐらいは<br>ゆっくり休んでいってね。"""
Npc47_07_010#0,"""คนเป็น ARKS เห็นมีเรื่องให้ต้องเหนื่อยทุกวัน<br>อย่างน้อยเวลาอยู่ที่ Lobby ก็พักผ่อนให้เต็มที่แล้วกันนะ"""
Npc47_07_010#1,"""アークスはいつも大変なんだから<br>ロビーに居る時ぐらいは<br>ゆっくり休んでいってね。"""
Npc47_08_010#0,"""คนเป็น ARKS เห็นมีเรื่องให้ต้องเหนื่อยทุกวัน<br>อย่างน้อยเวลาอยู่ที่ Lobby ก็พักผ่อนให้เต็มที่แล้วกันนะ"""
Npc47_08_010#1,"""アークスはいつも大変なんだから<br>ロビーに居る時ぐらいは<br>ゆっくり休んでいってね。"""
Npc47_mb9_010#0,"""ช่วงนี้เห็นวุ่นวายกันใหญ่เลยนี่<br>ถ้ามีเวลาได้พักแล้วไม่พักผ่อนให้เต็มที่ <br>ถึงเวลาขึ้นมาระวังแย่เอานะ"""
Npc47_mb9_010#1,"""なんか最近大変そうだね。<br>休めるときにゆっくり休まないと<br>いざというときにもたないよ？"""
Npc47_mb10_010#0,"""ช่วงนี้เห็นวุ่นวายกันใหญ่เลยนี่<br>ถ้ามีเวลาได้พักแล้วไม่พักผ่อนให้เต็มที่ <br>ถึงเวลาขึ้นมาระวังแย่เอานะ"""
Npc47_mb10_010#1,"""なんか最近大変そうだね。<br>休めるときにゆっくり休まないと<br>いざというときにもたないよ？"""
Npc47_mb11_010#0,"""ช่วงนี้เห็นวุ่นวายกันใหญ่เลยนี่<br>ถ้ามีเวลาได้พักแล้วไม่พักผ่อนให้เต็มที่ <br>ถึงเวลาขึ้นมาระวังแย่เอานะ"""
Npc47_mb11_010#1,"""なんか最近大変そうだね。<br>休めるときにゆっくり休まないと<br>いざというときにもたないよ？"""
Npc47_mb12_010#0,"""ช่วงนี้เห็นวุ่นวายกันใหญ่เลยนี่<br>ถ้ามีเวลาได้พักแล้วไม่พักผ่อนให้เต็มที่ <br>ถึงเวลาขึ้นมาระวังแย่เอานะ"""
Npc47_mb12_010#1,"""なんか最近大変そうだね。<br>休めるときにゆっくり休まないと<br>いざというときにもたないよ？"""
Npc47_mb13_010#0,"""ช่วงนี้เห็นวุ่นวายกันใหญ่เลยนี่<br>ถ้ามีเวลาได้พักแล้วไม่พักผ่อนให้เต็มที่ <br>ถึงเวลาขึ้นมาระวังแย่เอานะ"""
Npc47_mb13_010#1,"""なんか最近大変そうだね。<br>休めるときにゆっくり休まないと<br>いざというときにもたないよ？"""
Npc47_mb14_010#0,"""ช่วงนี้เห็นวุ่นวายกันใหญ่เลยนี่<br>ถ้ามีเวลาได้พักแล้วไม่พักผ่อนให้เต็มที่ <br>ถึงเวลาขึ้นมาระวังแย่เอานะ"""
Npc47_mb14_010#1,"""なんか最近大変そうだね。<br>休めるときにゆっくり休まないと<br>いざというときにもたないよ？"""
Npc47_mb16zeno_010#0,"""ดูเหมือนว่าจะเป็นเรื่องใหญ่สุดๆ ไปเลยนะ<br>ถ้าตอนนี้เป็นเวลาพักล่ะก็ ชั้นคิดว่าก็ควรจะพัก<br>ให้สบายๆ เพื่อเตรียมตัวสำหรับครั้งต่อไปนะ?"""
Npc47_mb16zeno_010#1,"""すっごい大変だったみたいだね。<br>今が休める時なら、ゆっくり休んで<br>次にそなえるといいと思うよ？"""
