name01#0,"""莉莎"""
name01#1,"""リサ"""
11_voice_NPC_5026_100#0,"""如何啊？<br>突擊步槍很好用吧？<br>可能還有點意猶未盡吧。"""
text02#0,"""希望你能找出<br>使用突擊步槍的樂趣喔。<br>獵人和術士是不一樣的。"""
text03#0,"""遊俠的遠距離戰與集中攻擊<br>可說是獨一無二的長處。<br>遊俠還有其他強項，但一項項說是很麻煩的。"""
text04#0,"""啊啊，你還在<br>虐殺敵人？<br>抱歉打擾到你了。"""
text05#0,"""結束後如果來跟我報告，<br>我會很高興的。<br>再見再見，再見再見再見。"""
11_voice_NPC_5026_100#1,"""どうですかあ？<br>アサルトライフル楽しいですよねえ。<br>歯痒いかもしれませんけどねえ。"""
text02#1,"""アサルトライフル独自の楽しさを<br>見出すのがいいですよお。<br>ハンターやフォースとは違います。"""
text03#1,"""遠距離戦と弱点への集中砲火は<br>レンジャーの専売特許と言えますねえ。<br>他にもありますが、言うのが面倒です。"""
text04#1,"""ああ、まだ敵さんを虐めている<br>最中でしたかあ？<br>ごめんなさい、邪魔しましたねえ。"""
text05#1,"""では、それが終わったら、一度報告に<br>来てもらえると嬉しいですねえ。<br>ではでは、ではではでは。"""
