Title#0,"""チョコレートの行方2020"""
Explanation#0,"""惑星アムドゥスキア、火山洞窟の<br>バレンタイン会場付近にて<br>龍族が暴れているとの報告が入った。<br>さらに、ダーカーや幻創種などの<br>出現も確認されている。<br>アークス各員は至急現地へと向かい<br>エネミーを排除、安全を確保せよ。<br>――――――――――――――――――――<br>クリア可能回数/$(0)回<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""まもなく、転送を開始します！<br>今回の任務は、バレンタイン会場周辺で<br>暴れているエネミーの撃破になります！"""
NpcComMsg2#0,"""龍族だけでなく、ダーカーや<br>強力な幻創種も確認されています。<br>充分、気をつけてください！"""
NpcComMsg3#0,"""可憐な女性陣と力を合わせて<br>会場の安全を確保してください！<br>チョコレートの行方は、貴方次第です！"""
SimpleExplanation#0,"""最深部を目指せ！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
