un_058010_0010#0,"""お二人とも！"""
un_058010_0020#0,"""あ、シエラちゃん。<br>こんにちは。<br>それでね……"""
un_058010_0030#0,"""ちょっとちょっとちょーっと！<br>待ってください！\u3000待ってください！<br>異変ですよ異変！\u3000ほら！"""
un_058010_0040#0,"""よーく考えてみてください！<br>おかしいですよね！\u3000この状況！"""
un_058010_0050#0,"""１．……背が伸びた？"""
un_058010_0060#0,"""２．……大きくなった？"""
un_058010_0070#0,"""それは私がいつも座ってるから<br>そういう印象なんだと思います！"""
un_058010_0080#0,"""大きくなったって、背ですか？<br>……どこ見て言ってるんですか！"""
un_058010_0090#0,"""……うーん。<br>ごめんシエラちゃん、わからない。"""
un_058010_0100#0,"""私が、ここにいることです！"""
un_058010_0110#0,"""……？\u3000ごめんね、シエラちゃん。<br>わたし、シエラちゃんが思ってるよりも<br>頭、良くなくて……"""
un_058010_0120#0,"""１．艦橋の外にいる？"""
un_058010_0130#0,"""２．立って歩いている？"""
un_058010_0140#0,"""そうです！"""
un_058010_0150#0,"""それはいつもやってますよ！<br>私が艦橋の外にいるってことです！"""
un_058010_0160#0,"""あ、そういえば……<br>艦橋の外に出てるシエラちゃんを<br>見るのって、初めてかも。"""
un_058010_0170#0,"""そういうことなんですよ！<br>ちょうど今、シャオも来ているので<br>外出許可もらっちゃいました！"""
un_058010_0180#0,"""演算もシャオと並列でやってますし<br>少しの時間なら問題ない、ってことで<br>仕事以外で、念願の外出です！"""
un_058010_0190#0,"""今までって<br>艦橋外に出たことなかったの？"""
un_058010_0200#0,"""艦橋とメンテナンスルームのみです。<br>あとは全部、通信で事足りましたから。"""
un_058010_0210#0,"""はーっ！\u3000これが皆さんの<br>普段見ている光景なんですね！<br>画面越しと全然違って、新鮮です！"""
un_058010_0220#0,"""この少ない時間をフル活用して<br>いろいろ見て回ってこないと！<br>お二人とも、それでは！"""
un_058010_0230#0,"""……シエラちゃん<br>すっごい浮かれてたけど<br>放っておいて大丈夫かな？"""
